N	3gram	Losev_Prob_4	Dialekti
1	и т д	3	19
2	с точки зрения	11	12
3	это значит что	7	9
4	ни в каком	5	8
5	сама по себе	2	8
6	в том что	8	7
7	сам по себе	6	6
8	не есть ни	2	6
9	по крайней мере	6	4
10	той или другой	3	4
11	в то же	2	4
12	в каком случае	3	4
13	можно было бы	4	4
14	с другой стороны	6	4
15	той или иной	11	3
16	не имеет ничего	2	3
17	потому что он	2	3
18	имеет ничего общего	2	3
19	ничего общего с	2	3
20	более или менее	2	3
21	содержит в себе	8	3
22	в этом смысле	3	3
23	и ни в	3	2
24	о том что	3	2
25	точно так же	3	2
26	то и другое	3	2
27	и в частности	2	2
28	во всяком случае	4	2
29	каком случае не	3	2
30	на самом деле	3	2
31	или по крайней	2	2
