N	2gram	Bakhtin_Pr_1	VrazhdaK
1	достоевского с	7	9
2	не только	13	9
3	достоевский в	7	8
4	достоевский и	2	8
5	в этом	25	8
6	и в	23	8
7	достоевского в	19	7
8	но и	11	7
9	что в	8	7
10	достоевского и	12	7
11	то что	18	7
12	и все	3	7
13	в котором	2	6
14	в нем	20	6
15	все же	5	6
16	и даже	3	6
17	в романе	11	6
18	как и	8	6
19	но в	4	6
20	и с	4	6
21	о нем	11	6
22	то же	10	5
23	не было	3	5
24	и не	34	5
25	у него	6	5
26	между тем	5	5
27	в то	10	5
28	же время	7	5
29	уже в	5	4
30	для нас	3	4
31	у достоевского	24	4
32	как бы	28	4
33	все это	7	4
34	это не	10	4
35	достоевского не	11	4
36	что он	10	4
37	что достоевский	3	4
38	так же	6	4
39	с ним	6	4
40	в своих	2	4
41	может быть	21	4
42	при этом	3	4
43	в истории	2	4
44	несмотря на	6	4
45	о том	2	4
46	в этот	2	3
47	я не	3	3
48	и уже	3	3
49	с его	6	3
50	в своем	8	3
51	и во	2	3
52	сам достоевский	2	3
53	о себе	9	3
54	в конце	5	3
55	к этому	2	3
56	человека в	5	3
57	и у	4	3
58	в том	11	3
59	и его	13	3
60	достоевского к	5	3
61	том что	9	3
62	и как	8	3
63	тем что	3	3
64	достоевский не	5	3
65	в его	24	3
66	его в	4	3
67	из подполья	11	3
68	но он	2	3
69	и о	3	3
70	одним из	8	3
71	он не	4	3
72	по нашему	5	3
73	и т.п	3	2
74	о достоевском	12	2
75	он сам	3	2
76	в своей	11	2
77	и это	5	2
78	из них	2	2
79	никогда не	5	2
80	вместе с	2	2
81	в них	3	2
82	как раз	4	2
83	и достоевский	3	2
84	не может	11	2
85	а в	7	2
86	отношения к	2	2
87	таким образом	11	2
88	он писал	3	2
89	рядом с	13	2
90	это в	2	2
91	но это	5	2
92	в той	6	2
93	уже не	8	2
94	к себе	2	2
95	роман достоевского	11	2
96	с точки	15	2
97	же в	2	2
98	как же	3	2
99	достоевского он	2	2
100	в этой	4	2
101	их в	2	2
102	достоевский был	4	2
103	но как	3	2
104	точки зрения	21	2
105	в себе	5	2
106	для него	15	2
107	еще не	5	2
108	его на	2	2
109	нашему убеждению	2	2
110	в мире	7	2
111	одна из	2	2
