N	2gram	Trubetskoy_1	Russkaja
1	не может	4	22
2	и не	8	19
3	в том	11	17
4	в этом	15	17
5	и в	26	14
6	с другом	5	14
7	друг с	5	14
8	то что	7	13
9	таким образом	22	11
10	то же	4	11
11	точки зрения	13	11
12	же время	2	10
13	но и	9	10
14	в то	4	10
15	том что	7	9
16	не только	10	9
17	в себе	6	9
18	с точки	6	9
19	может быть	10	9
20	во всяком	6	9
21	прежде всего	2	8
22	того чтобы	5	8
23	как на	8	8
24	русской интеллигенции	2	8
25	к богу	3	7
26	к тому	6	7
27	и если	3	7
28	мы должны	6	7
29	о том	6	7
30	и с	10	7
31	признать что	2	6
32	если бы	3	6
33	что он	4	6
34	и к	5	6
35	и при	3	6
36	с тем	18	6
37	для него	3	6
38	для того	5	6
39	для всех	2	6
40	всяком случае	6	6
41	если в	3	6
42	все это	6	6
43	в своем	3	6
44	и для	5	6
45	в россии	2	6
46	хотя бы	3	5
47	на то	2	5
48	и на	2	5
49	или иной	2	5
50	при этом	3	5
51	до сих	5	5
52	конечно не	2	5
53	он не	4	5
54	никогда не	5	5
55	в нем	4	5
56	сих пор	5	5
57	во всех	2	5
58	и только	4	5
59	по существу	2	5
60	из которых	4	5
61	а в	4	5
62	потому что	7	5
63	только в	4	5
64	между тем	2	5
65	но не	8	4
66	не могут	2	4
67	что в	9	4
68	то ни	2	4
69	тогда когда	2	4
70	в мире	5	4
71	более или	5	4
72	все что	2	4
73	в другое	2	4
74	ли это	2	4
75	как бы	12	4
76	все же	6	4
77	бы то	2	4
78	жизни и	2	4
79	вместе с	15	4
80	или менее	5	4
81	приводит к	2	4
82	путь к	3	4
83	не в	2	4
84	смотреть на	2	4
85	в этой	4	4
86	в его	5	4
87	и т.д	6	4
88	так как	9	4
89	что это	3	3
90	именно в	2	3
91	из этих	10	3
92	в конце	6	3
93	что все	4	3
94	главным образом	8	3
95	и как	3	3
96	лишь в	5	3
97	так чтобы	2	3
98	в качестве	3	3
99	тем чтобы	5	3
100	еще не	2	3
101	несмотря на	6	3
102	в самом	4	3
103	одной из	5	3
104	той или	2	3
105	но если	2	3
106	и потому	6	3
107	для этого	2	3
108	что и	6	3
109	из них	7	3
110	не было	2	3
111	что оно	4	3
112	и сейчас	2	3
113	в значительной	3	3
114	того что	3	3
115	и по	4	3
116	в виде	4	3
117	связи с	9	3
118	о котором	2	3
119	из этого	2	3
120	конце концов	3	3
121	только для	2	2
122	а с	7	2
123	русской культуры	15	2
124	пути к	2	2
125	значительной части	2	2
126	и от	4	2
127	точно так	3	2
128	европейской культуры	3	2
129	состоит в	2	2
130	ясно что	3	2
131	культуры и	3	2
132	и вместе	4	2
133	уже не	3	2
134	так что	3	2
135	из всех	3	2
136	отличается от	2	2
137	и о	3	2
138	и является	2	2
139	в котором	4	2
140	благодаря этому	2	2
141	не к	2	2
142	быть и	2	2
143	и тогда	4	2
144	целый ряд	4	2
145	если не	2	2
146	в течение	4	2
147	все эти	6	2
148	и что	4	2
149	а не	5	2
150	значительной мере	2	2
151	и наконец	2	2
152	и даже	3	2
153	к нему	7	2
154	так же	5	2
155	в других	3	2
156	и те	3	2
157	в глазах	2	2
158	в таком	3	2
159	людей и	2	2
160	в результате	3	2
161	больше чем	2	2
162	в силу	5	2
163	мы можем	2	2
164	в начале	2	2
165	во время	4	2
166	в этих	4	2
167	в области	9	2
168	к культуре	2	2
169	но в	7	2
