N	3gram	Trubetskoy_1	EvropaiC
1	в том что	3	16
2	до сих пор	5	12
3	друг с другом	5	9
4	с точки зрения	6	8
5	более или менее	5	7
6	на то что	2	7
7	для того чтобы	5	6
8	по сравнению с	2	5
9	о том что	4	4
10	может быть и	2	4
11	тем не менее	3	4
12	с течением времени	3	4
13	в конце концов	3	4
14	то ясно что	2	4
15	к тому же	4	4
16	так же как	3	3
17	таким образом в	2	3
18	в связи с	3	3
19	так или иначе	3	3
20	в то же	2	2
21	в том виде	2	2
22	как бы то	2	2
23	первое время после	2	2
24	между этими двумя	2	2
25	то же время	2	2
26	с одной стороны	7	2
27	а с другой	5	2
28	то ни было	2	2
29	заключает в себе	2	2
30	бы то ни	2	2
31	во всяком случае	6	2
32	но все же	4	2
33	вместе с тем	8	2
34	ничего общего с	2	2
