N	2gram	Tiupa_Teor_1	Morfolog
1	может быть	17	52
2	таким образом	3	20
3	представляет собой	9	17
4	не может	4	17
5	в этих	3	16
6	могут быть	4	15
7	и в	18	13
8	в этом	8	13
9	перед нами	2	11
10	прежде всего	2	9
11	так и	10	9
12	то же	7	9
13	и не	13	9
14	а не	9	9
15	мы имеем	7	9
16	с другой	7	8
17	что и	2	8
18	в качестве	24	7
19	имеем в	3	7
20	это не	2	6
21	не могут	2	6
22	и здесь	2	6
23	в том	16	6
24	но не	9	6
25	а также	6	6
26	в форме	2	6
27	а в	13	6
28	не менее	4	5
29	если мы	2	5
30	и другие	2	5
31	в ходе	4	5
32	вслед за	2	5
33	далеко не	2	5
34	как бы	5	5
35	не все	3	5
36	один из	2	5
37	то что	3	5
38	или в	3	5
39	потому что	3	5
40	что в	9	4
41	и как	2	4
42	вовсе не	3	4
43	об этом	2	4
44	тем не	3	4
45	отношению к	4	4
46	случае не	2	4
47	не только	16	4
48	как в	5	4
49	другой стороны	5	4
50	так же	2	4
51	по отношению	4	4
52	как и	4	4
53	хотя и	3	4
54	точки зрения	9	4
55	с точки	3	4
56	могла бы	2	4
57	его в	2	4
58	если в	2	4
59	если бы	3	3
60	в нашем	4	3
61	между собой	3	3
62	в какой	2	3
63	он должен	2	3
64	том что	9	3
65	в целом	3	3
66	в пределах	5	3
67	во втором	3	3
68	он не	3	3
69	не является	4	3
70	в первом	2	3
71	ни в	2	3
72	но и	9	3
73	к чему	2	3
74	и по	2	3
75	и для	2	3
76	и ее	3	3
77	в то	6	3
78	быть названо	2	3
79	героя и	5	3
80	но в	9	3
81	ни к	3	2
82	в частности	16	2
83	однако в	7	2
84	состоит в	17	2
85	таких случаях	2	2
86	можно сказать	3	2
87	и к	3	2
88	не с	3	2
89	то в	2	2
90	только в	6	2
91	а на	3	2
92	в большинстве	2	2
93	для него	2	2
94	одной стороны	2	2
95	одной из	2	2
96	никто не	2	2
97	чем это	2	2
98	себя в	6	2
99	быть и	2	2
100	или менее	2	2
101	а а	5	2
102	а с	3	2
103	с одной	2	2
104	все эти	2	2
105	и что	3	2
106	того что	4	2
107	уже не	4	2
108	и его	8	2
109	в другом	3	2
110	не знает	3	2
111	герой не	3	2
112	сказать что	3	2
113	как это	8	2
114	более или	2	2
115	это было	2	2
