N	2gram	Potebnia_M_1	Analitik
1	не только	21	22
2	тогда как	2	20
3	и в	39	18
4	как и	9	14
5	так и	13	14
6	в этом	15	14
7	но и	20	13
8	и его	5	13
9	том что	16	12
10	и не	18	12
11	при этом	6	11
12	а в	5	10
13	как бы	6	10
14	то есть	42	10
15	может быть	27	9
16	со стороны	8	9
17	что в	22	9
18	а не	21	9
19	в том	26	9
20	и даже	4	8
21	с другой	7	7
22	но не	8	7
23	в его	5	7
24	отношению к	13	7
25	по отношению	13	7
26	к тому	4	6
27	не в	15	6
28	в начале	2	6
29	для него	4	6
30	еще не	6	6
31	в этой	3	6
32	он не	3	6
33	в их	2	6
34	о том	2	6
35	никогда не	4	5
36	однако в	4	5
37	прежде всего	4	5
38	в свою	4	5
39	того же	3	5
40	в самом	3	5
41	что и	6	5
42	в мире	3	5
43	другой стороны	5	5
44	в сущности	2	5
45	уже не	2	5
46	той же	3	5
47	в слове	8	5
48	между тем	5	5
49	не менее	6	4
50	в своем	3	4
51	столь же	3	4
52	по крайней	2	4
53	в одном	8	4
54	по себе	10	4
55	и как	6	4
56	свою очередь	4	4
57	во втором	5	4
58	не есть	10	4
59	крайней мере	2	4
60	все же	6	4
61	таким образом	13	4
62	тем самым	4	4
63	что по	3	4
64	в каждом	4	3
65	были бы	3	3
66	и без	3	3
67	из этих	4	3
68	ключ к	2	3
69	и того	2	3
70	было бы	12	3
71	же время	4	3
72	только не	2	3
73	по поводу	3	3
74	мысль о	2	3
75	с ее	2	3
76	не будет	2	3
77	в целом	2	3
78	как в	10	3
79	то же	6	3
80	не было	4	3
81	что не	10	3
82	по его	7	3
83	мы не	10	3
84	с этим	7	3
85	точки зрения	8	3
86	подобно тому	3	3
87	одного и	2	3
88	но как	3	3
89	во всем	4	3
90	в то	4	3
91	сама по	3	2
92	могут быть	9	2
93	для всех	5	2
94	все они	2	2
95	в них	3	2
96	это не	7	2
97	и от	3	2
98	в жизни	3	2
99	с нею	4	2
100	в нем	20	2
101	есть не	2	2
102	о его	2	2
103	несмотря на	5	2
104	о которых	2	2
105	тем не	6	2
106	же в	2	2
107	субъекта и	4	2
108	то в	5	2
109	с тем	5	2
110	очевидно что	3	2
111	не более	4	2
112	одной стороны	3	2
113	могли бы	2	2
114	значительной степени	2	2
115	видеть в	2	2
116	и той	3	2
117	хотя и	3	2
118	в ней	7	2
119	и потому	5	2
120	не видно	5	2
121	то что	10	2
122	в первом	5	2
123	во всех	5	2
124	в сравнении	3	2
125	вместе с	8	2
126	со мною	2	2
127	связь с	2	2
128	доказывает что	2	2
129	не может	22	2
130	не могла	2	2
131	и б	2	2
132	к первому	3	2
133	с одной	3	2
134	но с	2	2
135	одной и	3	2
136	не мог	3	2
137	с точки	3	2
138	и по	6	2
139	и для	5	2
140	сравнении с	2	2
141	в глазах	3	2
142	тому как	4	2
143	сказать что	3	2
144	во всяком	3	2
145	мы можем	2	2
146	тем что	9	2
147	нуждается в	2	2
148	в себе	13	2
149	могла бы	2	2
150	что мы	4	2
151	только в	25	2
152	вопроса о	2	2
153	но всегда	2	2
154	и все	3	2
155	дело в	2	2
156	хотя в	3	2
157	так сказать	2	2
158	там где	4	2
159	когда мы	2	2
160	но в	9	2
