N	2gram	Kanaev_Sov_1	PoTuStor
1	может быть	12	17
2	и в	7	16
3	и пр	2	12
4	прежде всего	5	9
5	таким образом	11	9
6	в этом	7	9
7	мы можем	6	9
8	совершенно не	2	8
9	точки зрения	12	8
10	не может	17	8
11	не только	4	7
12	и к	3	6
13	с точки	5	6
14	самом деле	2	6
15	при этом	3	6
16	все эти	5	5
17	что такое	2	5
18	еще не	3	5
19	как бы	4	5
20	с самого	3	4
21	самого начала	3	4
22	в нем	3	4
23	отнюдь не	3	4
24	все это	3	4
25	и все	3	4
26	так как	4	4
27	и не	6	4
28	как мы	2	4
29	но мы	3	4
30	и наконец	5	4
31	и даже	2	4
32	в этой	3	4
33	в один	2	4
34	но в	3	4
35	в его	2	4
36	на две	3	3
37	мы знаем	2	3
38	на этой	3	3
39	что в	2	3
40	жизни и	4	3
41	и есть	2	3
42	могут быть	2	3
43	вместе с	4	3
44	в одном	3	3
45	в том	4	3
46	а в	4	3
47	их в	4	3
48	на этом	2	3
49	в области	3	3
50	во всяком	2	3
51	и потому	3	3
52	всяком случае	2	3
53	не менее	2	2
54	нет и	4	2
55	может иметь	2	2
56	не могут	2	2
57	в развитии	4	2
58	между собой	3	2
59	если мы	4	2
60	из этих	2	2
61	с этим	2	2
62	то же	3	2
63	с помощью	4	2
64	мы не	9	2
65	у него	2	2
66	в науке	2	2
67	и по	2	2
68	для нас	3	2
69	как и	6	2
70	мы видим	2	2
71	знаем что	2	2
72	а на	2	2
73	не можем	7	2
74	говорить о	2	2
75	было бы	3	2
76	со всеми	2	2
77	что это	2	2
78	и мы	3	2
79	в самом	2	2
80	можно назвать	2	2
