N	2gram	Vinokur_Vv_1	Problema
1	в его	10	43
2	и не	13	42
3	и в	27	38
4	познания и	2	30
5	не может	13	27
6	может быть	24	26
7	как бы	5	22
8	по отношению	4	21
9	отношению к	4	19
10	и с	2	17
11	и его	5	16
12	в нем	13	15
13	в этом	34	15
14	и т	43	14
15	независимо от	3	13
16	прежде всего	8	13
17	только в	13	13
18	т п	5	13
19	но не	7	12
20	во всех	2	11
21	и для	4	11
22	в области	4	11
23	к нему	2	10
24	отношение к	3	10
25	в их	11	10
26	таким образом	19	10
27	но и	5	9
28	не имеет	4	9
29	его в	6	9
30	не только	21	9
31	имеет дело	5	9
32	в том	31	8
33	и как	9	8
34	и др	2	8
35	точки зрения	7	8
36	было бы	5	8
37	то что	17	8
38	входит в	2	8
39	что в	11	7
40	с другой	8	7
41	вообще не	3	7
42	не в	8	7
43	в самом	12	7
44	между тем	8	7
45	как и	5	7
46	еще не	4	7
47	в своей	4	7
48	как мы	9	7
49	не к	2	6
50	можно только	2	6
51	а в	5	6
52	только как	6	6
53	человеческой культуры	2	6
54	не есть	4	6
55	все же	8	6
56	дело с	6	6
57	самом деле	6	6
58	с точки	2	6
59	мы можем	2	6
60	ничего не	2	6
61	то же	8	5
62	в своем	3	5
63	это не	8	5
64	при этом	3	5
65	никогда не	3	5
66	все эти	3	5
67	должно быть	2	5
68	рядом с	2	5
69	в них	4	5
70	не нужно	2	5
71	в отличие	3	5
72	а не	3	5
73	могут быть	4	5
74	отличие от	3	5
75	должна быть	2	4
76	не менее	8	4
77	только по	3	4
78	лишь как	2	4
79	в ней	3	4
80	в виду	4	4
81	другой стороны	5	4
82	данном случае	5	4
83	в форме	2	4
84	сказать что	5	4
85	в более	2	4
86	в то	5	4
87	о том	15	4
88	но в	10	4
89	не с	2	4
90	в ее	11	4
91	что не	5	4
92	между ними	2	4
93	хотя бы	5	4
94	можно было	7	4
95	в данном	11	4
96	в себе	4	4
97	здесь не	2	4
98	к действительности	2	3
99	в тех	2	3
100	тем не	8	3
101	да и	4	3
102	в известной	3	3
103	в дальнейшем	2	3
104	же время	5	3
105	одной стороны	4	3
106	несмотря на	2	3
107	например в	2	3
108	хотя и	3	3
109	и тем	5	3
110	как такового	2	3
111	в целом	5	3
112	все это	6	3
113	с одной	4	3
114	применении к	6	3
115	есть лишь	2	3
116	и даже	5	3
117	и на	3	3
118	языка в	4	3
119	в применении	6	3
120	также и	16	3
121	или как	3	3
122	а как	3	3
123	если бы	2	3
124	этом смысле	11	3
125	ясно что	9	3
126	том что	26	3
127	говорить о	3	3
128	одной из	3	3
129	об искусстве	4	3
130	на почве	5	3
131	как нечто	8	3
132	но с	4	3
133	и это	6	3
134	чем в	3	2
135	на этом	3	2
136	не могут	5	2
137	ни к	2	2
138	и есть	3	2
139	в частности	3	2
140	в этих	3	2
141	в какой	4	2
142	в каждом	4	2
143	можно сказать	3	2
144	а только	8	2
145	но зато	2	2
146	что оно	2	2
147	смысле слова	7	2
148	в значительной	2	2
149	в работах	2	2
150	что это	3	2
151	не вполне	4	2
152	в котором	4	2
153	здесь нет	4	2
154	строгом смысле	3	2
155	ни с	2	2
156	художественных произведений	2	2
157	в связи	2	2
158	в особенности	4	2
159	этом отношении	3	2
160	и других	3	2
161	этой науки	3	2
162	этой области	3	2
163	и что	4	2
164	произведения и	2	2
165	того что	12	2
166	действительности в	2	2
167	есть только	2	2
168	и те	2	2
169	в своих	2	2
170	не следует	2	2
171	нуждается в	2	2
172	но как	2	2
173	в начале	3	2
174	во всем	2	2
175	в истории	9	2
176	о котором	8	2
177	же самое	2	2
178	как это	5	2
179	мы имеем	3	2
180	следует что	2	2
181	к этому	3	2
182	вовсе не	6	2
183	есть не	3	2
184	языка как	2	2
185	о которых	2	2
186	что он	4	2
187	у нас	2	2
188	по существу	2	2
189	и при	2	2
190	связи с	3	2
191	одна из	2	2
192	в строгом	3	2
193	ни одна	2	2
194	том же	2	2
195	об отдельных	3	2
196	должен быть	4	2
197	что и	3	2
198	себя в	2	2
199	и именно	12	2
200	здесь все	2	2
201	момента в	2	2
202	того чтобы	21	2
203	для того	21	2
204	из которых	2	2
205	тем что	6	2
206	в виде	4	2
207	и ее	4	2
208	в другом	3	2
209	и вообще	3	2
210	дело в	3	2
211	в чем	4	2
212	не могли	2	2
