N	2gram	Vygotskiy__4	Literetu
1	и не	8	22
2	тогда как	2	17
3	и в	20	16
4	при этом	12	15
5	не только	15	14
6	но и	9	14
7	в этом	24	14
8	а не	7	12
9	то что	15	12
10	может быть	12	12
11	в том	42	12
12	в частности	5	11
13	не в	4	10
14	такого рода	6	10
15	то же	16	9
16	так и	5	9
17	того что	10	9
18	том что	35	8
19	не может	6	8
20	в этой	3	8
21	как бы	7	8
22	в своей	7	7
23	себя в	3	7
24	со стороны	3	7
25	тем самым	7	7
26	точки зрения	24	7
27	только в	10	7
28	состоит в	4	6
29	с другой	12	6
30	к тому	6	6
31	еще не	2	6
32	в его	11	6
33	и т.п	2	6
34	и его	5	6
35	в себе	10	6
36	о том	5	6
37	в качестве	21	5
38	это не	5	5
39	что он	6	5
40	тому же	6	5
41	как и	9	5
42	в целом	11	5
43	вместе с	8	5
44	как в	5	5
45	в отличие	2	5
46	а в	2	5
47	этом отношении	7	5
48	именно в	3	5
49	в основе	17	5
50	отличие от	2	5
51	место в	2	4
52	но не	3	4
53	никогда не	5	4
54	даже в	2	4
55	по существу	3	4
56	одной стороны	9	4
57	в начале	2	4
58	и для	4	4
59	одним из	2	4
60	из них	4	4
61	данном случае	2	4
62	входит в	2	4
63	с одной	9	4
64	а также	2	4
65	должно быть	3	4
66	в данном	2	4
67	том числе	2	3
68	все время	4	3
69	отнюдь не	3	3
70	свое место	2	3
71	прежде всего	2	3
72	а затем	2	3
73	и как	9	3
74	совершенно не	3	3
75	и к	5	3
76	на его	3	3
77	в самом	6	3
78	вслед за	2	3
79	в слове	2	3
80	и тем	8	3
81	самом деле	7	3
82	с точки	11	3
83	той же	6	3
84	тому как	2	3
85	потому что	12	3
86	по своей	6	3
87	едва ли	2	3
88	как это	9	3
89	в области	4	3
90	но в	3	3
91	между тем	9	3
92	что в	19	2
93	не менее	3	2
94	если бы	5	2
95	все более	2	2
96	с этой	4	2
97	к этому	4	2
98	стороны и	2	2
99	со всей	2	2
100	на то	5	2
101	в нем	2	2
102	на слово	2	2
103	раз в	2	2
104	и при	4	2
105	связи с	3	2
106	знает что	3	2
107	числе и	2	2
108	того же	9	2
109	в свою	2	2
110	для него	2	2
111	было бы	8	2
112	со всеми	3	2
113	том чтобы	2	2
114	нас к	3	2
115	один из	3	2
116	что и	9	2
117	все же	5	2
118	когда он	3	2
119	и тогда	2	2
120	как мы	13	2
121	во всей	4	2
122	внимание на	3	2
123	так же	11	2
124	и только	4	2
125	в совершенно	3	2
126	если не	2	2
127	не означает	3	2
128	слова из	2	2
129	целом и	2	2
130	того чтобы	7	2
131	для того	5	2
132	действительности в	2	2
133	другой стороны	9	2
134	и на	6	2
135	мы и	2	2
136	и с	4	2
137	тем что	7	2
138	подобно тому	2	2
139	далеко не	2	2
140	представляет собой	3	2
141	не знает	2	2
142	же самое	7	2
143	могли бы	9	2
144	его в	6	2
145	здесь не	2	2
