N	2gram	Medvedev_U_1	Istorich
1	и в	14	25
2	что он	2	22
3	может быть	6	17
4	не только	10	13
5	но и	4	13
6	в его	2	12
7	и не	8	11
8	все же	3	10
9	в этом	7	10
10	тем что	2	10
11	с другой	4	9
12	таким образом	2	9
13	том что	2	8
14	другой стороны	3	8
15	в частности	3	7
16	как и	3	7
17	но это	2	7
18	то что	7	7
19	превращается в	2	7
20	только в	2	7
21	это не	3	6
22	прежде всего	8	6
23	что и	2	6
24	не может	7	6
25	не в	2	6
26	могут быть	2	6
27	в том	2	6
28	но не	2	5
29	мы не	2	5
30	если не	2	4
31	не как	3	4
32	что все	2	4
33	в некоторых	2	4
34	все это	5	4
35	то же	5	4
36	в этой	4	3
37	в то	3	3
38	и с	2	3
39	это уже	2	2
40	его и	2	2
41	формы и	2	2
42	а как	2	2
43	по себе	2	2
44	по существу	2	2
45	мы и	2	2
46	очевидно что	3	2
47	до сих	2	2
48	если бы	2	2
49	одним из	2	2
50	сих пор	2	2
51	в своей	3	2
52	и для	2	2
53	самом деле	2	2
54	а не	10	2
55	что мы	2	2
56	ничего не	2	2
57	о чем	2	2
58	это было	2	2
