N	2gram	Kanaev_Sov_1	Narrotol
1	не только	4	32
2	может быть	12	25
3	и не	6	20
4	и в	7	19
5	в том	4	18
6	в этом	7	17
7	не в	3	14
8	а не	3	12
9	а в	4	11
10	не может	17	10
11	точки зрения	12	10
12	при этом	3	9
13	в его	2	9
14	в себе	3	8
15	времени и	2	7
16	и т.д	3	7
17	как и	6	7
18	еще не	3	7
19	такого рода	2	7
20	все же	3	7
21	с одной	2	7
22	но в	3	6
23	отнюдь не	3	5
24	или иной	2	5
25	уже не	2	5
26	в отличие	2	5
27	отличие от	2	5
28	в этой	3	5
29	точку зрения	4	4
30	прежде всего	5	4
31	в нем	3	4
32	у него	2	4
33	то же	3	4
34	но все	2	4
35	было бы	3	4
36	как бы	4	4
37	все те	2	4
38	отличается от	3	4
39	из которых	2	4
40	не менее	2	3
41	что в	2	3
42	могут быть	2	3
43	уже в	3	3
44	из этих	2	3
45	в третьем	2	3
46	в свою	2	3
47	тем не	2	3
48	может не	3	3
49	одна из	3	3
50	свою очередь	2	3
51	и даже	2	3
52	из двух	3	3
53	в первом	3	3
54	из них	4	3
55	жизни и	4	3
56	то ни	2	3
57	как мы	2	3
58	что это	2	3
59	между собой	3	2
60	она может	2	2
61	как известно	2	2
62	и потому	3	2
63	нет и	4	2
64	приводит к	2	2
65	все эти	5	2
66	совершенно не	2	2
67	самом деле	2	2
68	с точки	5	2
69	это не	4	2
70	роль в	2	2
71	в таком	2	2
72	первые два	2	2
73	в результате	6	2
74	говорить о	2	2
75	и все	3	2
76	когда мы	3	2
77	ничего не	6	2
