N	2gram	Vinokur_St_2	Analitik
1	в качестве	5	31
2	может быть	2	29
3	в том	27	27
4	не может	2	22
5	и не	9	21
6	в частности	4	19
7	и в	29	18
8	а не	5	17
9	но и	19	17
10	не только	19	15
11	тогда как	2	14
12	не в	4	14
13	как и	2	13
14	в его	13	13
15	в этом	21	13
16	том что	27	12
17	при этом	2	12
18	в себе	2	11
19	но не	3	10
20	то же	2	9
21	в то	2	9
22	в той	5	8
23	но в	8	8
24	к тому	10	7
25	времени и	4	6
26	прежде всего	5	6
27	в самом	7	6
28	то что	11	6
29	в своей	7	6
30	в отличие	2	6
31	отличие от	2	6
32	точки зрения	5	6
33	только в	2	6
34	и как	2	5
35	в этой	2	5
36	что в	19	5
37	такого рода	2	5
38	как бы	5	5
39	в их	3	5
40	и его	6	5
41	между тем	5	5
42	и на	6	5
43	о том	17	5
44	на вопрос	3	4
45	того что	5	4
46	и более	2	4
47	с другой	4	4
48	по себе	3	4
49	ни в	3	4
50	тому же	3	4
51	того же	2	4
52	для того	7	4
53	в области	2	4
54	все же	6	4
55	вместе с	7	4
56	так и	9	4
57	именно в	4	4
58	ни было	2	4
59	с точки	2	4
60	в другом	4	4
61	с его	2	3
62	то ни	2	3
63	хотя бы	3	3
64	в нем	4	3
65	и к	4	3
66	что он	13	3
67	и т	9	3
68	как известно	2	3
69	одним из	6	3
70	он не	9	3
71	в котором	7	3
72	даже в	2	3
73	дело не	2	3
74	что и	2	3
75	бы то	2	3
76	ни с	2	3
77	таким образом	10	3
78	а с	3	3
79	того чтобы	6	3
80	мере в	2	3
81	т п	3	3
82	как он	2	3
83	в полной	2	3
84	а также	2	3
85	если бы	2	3
86	своего рода	5	3
87	образом не	2	2
88	только не	2	2
89	никогда не	3	2
90	все эти	2	2
91	в какой	2	2
92	не столько	7	2
93	не является	3	2
94	была бы	5	2
95	вовсе не	6	2
96	вопрос о	6	2
97	что именно	2	2
98	той мере	2	2
99	а как	4	2
100	бы ни	2	2
101	не должен	2	2
102	пушкина как	3	2
103	в начале	3	2
104	и потому	2	2
105	и сам	2	2
106	для него	4	2
107	случае не	2	2
108	было бы	5	2
109	несмотря на	2	2
110	на его	2	2
111	и о	4	2
112	еще в	2	2
113	нет и	2	2
114	сами по	2	2
115	как говорит	2	2
116	не к	2	2
117	из них	3	2
118	в процессе	2	2
119	со стороны	2	2
120	другой стороны	3	2
121	этом отношении	9	2
122	на самом	3	2
123	самом деле	3	2
124	и по	3	2
125	особенно в	2	2
126	на себя	3	2
127	также и	2	2
128	в данном	2	2
129	при помощи	4	2
130	так как	2	2
131	потому что	9	2
132	в которой	11	2
133	и с	4	2
