N	2gram	Ircho_Kome_3	Tragedij
1	и в	22	18
2	в этом	8	9
3	не только	5	8
4	и не	21	7
5	и на	2	7
6	и с	4	7
7	может быть	6	7
8	как бы	3	7
9	в образе	2	6
10	что он	8	6
11	и его	6	6
12	же время	5	6
13	у него	4	6
14	но в	5	6
15	все же	4	5
16	так и	4	5
17	это не	2	5
18	не может	3	5
19	то же	7	5
20	как и	3	5
21	в то	6	5
22	несмотря на	4	5
23	но и	4	4
24	то что	4	4
25	в целом	3	4
26	что в	5	4
27	все это	5	4
28	прежде всего	5	4
29	и все	2	4
30	в нем	3	4
31	и даже	3	4
32	так же	4	4
33	том что	13	4
34	в этой	3	4
35	и что	6	4
36	в себе	4	4
37	еще не	6	4
38	об этом	7	4
39	уже в	2	3
40	один из	3	3
41	о чем	7	3
42	отнюдь не	4	3
43	iii в	6	3
44	в своем	8	3
45	в конце	7	3
46	как в	2	3
47	и он	2	3
48	к нему	5	3
49	в его	8	3
50	что с	2	3
51	при этом	7	3
52	и сам	5	3
53	в мире	2	3
54	как это	5	3
55	с ним	5	3
56	под влиянием	2	2
57	не имеет	3	2
58	не могут	2	2
59	что и	8	2
60	в частности	3	2
61	отцом и	3	2
62	который в	3	2
63	дома и	3	2
64	в известной	2	2
65	по мнению	2	2
66	даже если	2	2
67	но при	2	2
68	ненависти к	5	2
69	и я	2	2
70	а как	2	2
71	с его	3	2
72	отношение к	5	2
73	к тому	6	2
74	столь же	3	2
75	о его	2	2
76	не так	3	2
77	и здесь	4	2
78	ни в	10	2
79	он был	4	2
80	в ее	3	2
81	в том	12	2
82	до конца	4	2
83	друг друга	4	2
84	отличие от	2	2
85	но все	4	2
86	так что	6	2
87	в таком	2	2
88	не в	4	2
89	в глазах	8	2
90	тут же	4	2
91	потому что	10	2
92	ничем не	4	2
93	с тем	4	2
94	тем что	5	2
95	в глаза	3	2
96	он и	2	2
97	и ее	2	2
98	его дочь	2	2
99	о том	8	2
100	его в	8	2
101	и это	2	2
102	в самом	9	2
103	я ведь	2	2
104	не мог	2	2
105	ничего не	3	2
106	он не	5	2
107	в одном	2	2
108	что она	4	2
109	отца и	2	2
110	никогда не	3	2
