N	2gram	Nazirov_Tr_1	Literetu
1	и в	18	19
2	может быть	7	17
3	своего рода	3	13
4	то же	5	12
5	и не	7	11
6	в том	2	10
7	как и	5	10
8	но и	4	10
9	же время	6	9
10	не может	5	9
11	в мире	3	9
12	в этом	9	9
13	в то	5	9
14	не только	8	8
15	и даже	4	8
16	том что	4	7
17	то что	4	7
18	так и	5	7
19	в себе	4	6
20	при этом	3	6
21	и на	7	6
22	столь же	2	5
23	я не	4	5
24	одна из	2	5
25	он не	2	5
26	в году	9	5
27	то есть	3	5
28	что в	4	4
29	в частности	2	4
30	со мной	2	4
31	прежде всего	4	4
32	не в	2	4
33	отнюдь не	3	4
34	для него	3	4
35	в его	3	4
36	еще в	2	4
37	один из	3	4
38	так что	2	4
39	тем что	2	4
40	не случайно	2	4
41	никогда не	2	3
42	что он	6	3
43	в нем	4	3
44	и как	3	3
45	но это	4	3
46	в этой	4	3
47	права на	2	3
48	и он	3	3
49	данном случае	2	3
50	то и	2	3
51	я все	2	3
52	тем самым	3	3
53	и его	6	3
54	в глазах	2	3
55	и то	2	3
56	и с	7	3
57	в данном	2	3
58	ничего не	2	3
59	уже в	3	2
60	к жизни	5	2
61	с тем	2	2
62	у него	6	2
63	в конце	3	2
64	в одном	2	2
65	в ее	2	2
66	до конца	2	2
67	еще не	4	2
68	и сам	3	2
69	нет в	2	2
70	не так	2	2
71	из своих	2	2
72	как бы	7	2
73	что и	2	2
74	все же	5	2
75	с ее	3	2
76	в целом	4	2
77	и за	2	2
78	и до	2	2
79	уже не	2	2
80	и что	4	2
81	друг друга	2	2
82	в русском	2	2
83	потому что	2	2
84	он и	2	2
85	что я	4	2
86	о том	2	2
87	как это	3	2
88	с ним	3	2
89	но в	6	2
90	одном из	2	2
