N	2gram	Losev_Dial_4	EvropaiE
1	и в	15	37
2	в отношении	2	32
3	точки зрения	14	23
4	что в	7	21
5	не только	8	18
6	с точки	9	17
7	в то	6	16
8	хотя бы	4	15
9	то же	9	15
10	отношении к	2	15
11	в своем	5	14
12	в качестве	2	14
13	же время	6	14
14	но и	4	14
15	и не	30	14
16	но в	3	14
17	в этом	11	12
18	в их	3	11
19	в том	11	11
20	в области	3	11
21	так и	5	10
22	отнюдь не	4	9
23	прежде всего	11	9
24	в смысле	5	9
25	не может	11	9
26	т е	46	9
27	в себе	8	9
28	только в	7	9
29	так же	4	9
30	думать что	2	8
31	в ее	2	8
32	было бы	9	8
33	в своей	3	8
34	как и	7	7
35	того что	13	7
36	также и	4	7
37	так как	14	7
38	с этой	2	6
39	вовсе не	6	6
40	том что	10	6
41	может быть	17	6
42	для того	5	6
43	на то	5	6
44	как бы	14	6
45	то что	16	6
46	во всех	2	6
47	того чтобы	5	6
48	и даже	6	6
49	и на	5	6
50	в частности	2	5
51	не в	8	5
52	одной из	2	5
53	но если	5	5
54	со стороны	3	5
55	в течение	4	5
56	тем самым	3	5
57	и по	2	5
58	от этого	3	5
59	в виде	3	5
60	этой точки	2	5
61	и потому	3	5
62	в предыдущем	3	4
63	то ни	4	4
64	именно в	5	4
65	вопрос о	2	4
66	можно сказать	5	4
67	само по	4	4
68	в самом	2	4
69	то в	5	4
70	в ней	5	4
71	той или	4	4
72	по себе	13	4
73	мы не	9	4
74	и притом	3	4
75	не имеет	14	4
76	сказать что	6	4
77	тем более	6	4
78	в каком	5	4
79	того или	2	4
80	как это	2	4
81	в сфере	5	3
82	с тем	4	3
83	никогда не	2	3
84	в них	2	3
85	этом смысле	4	3
86	или иную	2	3
87	мы можем	3	3
88	в свою	3	3
89	не дает	2	3
90	бы ни	2	3
91	ту или	2	3
92	и мы	7	3
93	из них	2	3
94	себе не	2	3
95	и тем	6	3
96	что и	6	3
97	говорит о	3	3
98	не будет	2	3
99	когда он	3	3
100	ее в	2	3
101	бы и	3	3
102	как в	3	3
103	и только	2	3
104	она в	3	3
105	и для	5	3
106	в результате	6	3
107	потому что	10	3
108	во всяком	2	3
109	тем что	2	3
110	по общему	2	3
111	ни на	6	3
112	в данном	3	3
113	о том	5	3
114	что все	4	2
115	не могут	2	2
116	а не	18	2
117	сравнению с	2	2
118	по сравнению	2	2
119	и во	2	2
120	с этим	3	2
121	и все	11	2
122	в одном	4	2
123	представление о	2	2
124	главным образом	2	2
125	чем больше	2	2
126	есть не	5	2
127	что на	2	2
128	не нужно	2	2
129	при условии	2	2
130	и можно	5	2
131	как же	5	2
132	будет ли	3	2
133	и как	4	2
134	это значит	8	2
135	в силу	4	2
136	есть в	4	2
137	что если	3	2
138	свою очередь	2	2
139	но как	2	2
140	должна быть	7	2
141	или по	4	2
142	но именно	2	2
143	что это	13	2
144	не говоря	3	2
145	и если	3	2
146	она не	4	2
147	в его	4	2
148	мог бы	2	2
149	в котором	2	2
150	говоря уже	3	2
151	не есть	40	2
152	при помощи	3	2
153	жизни и	4	2
154	как не	2	2
155	вместе с	2	2
156	на основании	3	2
157	во всей	2	2
158	что же	2	2
159	таким образом	5	2
160	если бы	6	2
161	а именно	6	2
162	заключается в	2	2
163	и что	9	2
164	и наконец	3	2
165	другой стороны	2	2
166	и тут	3	2
167	поскольку он	2	2
168	мы видим	4	2
169	или в	7	2
170	и та	3	2
171	и чем	2	2
172	и с	4	2
173	хотя и	6	2
174	могут быть	3	2
175	в этой	4	2
176	ведь и	2	2
177	и то	3	2
178	в истории	3	2
179	как будто	2	2
180	мы должны	4	2
181	бы в	4	2
182	можем сказать	2	2
183	тогда когда	5	2
