N	2gram	Savitsky_E_1	Problema
1	и в	37	30
2	в своей	8	22
3	то есть	6	21
4	то что	6	18
5	не только	18	18
6	том что	6	17
7	в этом	12	17
8	и даже	6	14
9	но и	14	13
10	таким образом	2	13
11	потому что	3	13
12	в том	11	12
13	в его	2	12
14	и не	14	12
15	а именно	2	12
16	также и	7	12
17	о том	3	12
18	в своем	14	11
19	в виде	5	10
20	для нас	4	10
21	точки зрения	23	10
22	в этой	2	10
23	сказать что	4	9
24	но в	14	9
25	только в	9	9
26	и все	2	9
27	вовсе не	6	8
28	хотя и	2	8
29	с точки	17	8
30	никогда не	3	7
31	как и	7	7
32	но не	5	7
33	может быть	6	7
34	вместе с	2	7
35	так и	10	7
36	говорит о	3	7
37	не в	5	7
38	в результате	3	7
39	с другой	7	6
40	прежде всего	9	6
41	можно сказать	4	6
42	и как	2	6
43	несмотря на	4	6
44	и для	3	6
45	как бы	6	6
46	что и	3	6
47	другой стороны	2	6
48	и что	2	6
49	а в	2	6
50	и на	6	6
51	при помощи	2	6
52	так как	7	6
53	с тем	3	5
54	что в	21	5
55	в силу	2	5
56	так же	9	5
57	в самом	4	5
58	не может	9	5
59	а не	2	5
60	и притом	4	5
61	и то	2	5
62	и с	2	5
63	мы можем	3	5
64	в частности	5	4
65	отнюдь не	9	4
66	но даже	4	4
67	жизни в	3	4
68	тогда когда	2	4
69	в смысле	9	4
70	того же	3	4
71	было бы	8	4
72	в качестве	14	4
73	и к	3	4
74	или в	2	4
75	в себе	9	4
76	в то	16	4
77	далеко не	2	4
78	он сам	2	3
79	для них	2	3
80	именно в	4	3
81	еще более	2	3
82	в отношении	32	3
83	же в	2	3
84	в ее	8	3
85	или вернее	2	3
86	как будто	2	3
87	одной стороны	8	3
88	для того	6	3
89	он не	2	3
90	а также	7	3
91	и тем	3	3
92	с одной	8	3
93	того что	7	3
94	к нему	2	3
95	в других	2	3
96	от этого	5	3
97	в ней	4	3
98	этом смысле	3	3
99	в одном	2	3
100	мира в	4	3
101	не могут	2	2
102	и более	2	2
103	уже и	3	2
104	в них	3	2
105	в какой	2	2
106	хотя бы	15	2
107	как в	3	2
108	во втором	2	2
109	с этой	6	2
110	на месте	2	2
111	представление о	2	2
112	по себе	4	2
113	на то	6	2
114	от них	3	2
115	к тому	8	2
116	то же	15	2
117	и наиболее	2	2
118	как мы	5	2
119	из всех	3	2
120	участие в	2	2
121	не будет	3	2
122	в свою	3	2
123	жизни и	2	2
124	в данном	3	2
125	вслед за	6	2
126	всяком случае	3	2
127	в котором	2	2
128	бы то	4	2
129	не к	2	2
130	из них	3	2
131	когда он	3	2
132	наряду с	2	2
133	ее в	3	2
134	данном случае	2	2
135	но еще	2	2
136	океана и	2	2
137	и только	3	2
138	которого мы	2	2
139	то ни	4	2
140	дошла до	2	2
141	мы не	4	2
142	в значительной	2	2
143	того чтобы	6	2
144	в таком	3	2
145	и тут	2	2
146	можно было	3	2
147	во всяком	3	2
148	между тем	8	2
149	тем что	3	2
150	и сейчас	2	2
151	по своей	2	2
152	его на	2	2
153	дело в	3	2
154	есть в	2	2
155	мира и	3	2
156	в области	11	2
