N	2gram	Nazirov_Tv_1	Poddanst
1	не только	7	17
2	и в	21	14
3	и не	7	12
4	в этом	6	10
5	то же	13	9
6	в том	7	9
7	в качестве	2	9
8	но в	7	9
9	хотя бы	5	8
10	же время	12	7
11	в то	15	7
12	только в	5	7
13	быть может	2	6
14	но и	3	6
15	в ней	2	6
16	xix века	6	6
17	с другой	3	5
18	не в	2	5
19	может быть	5	5
20	в котором	6	4
21	то что	8	4
22	что в	12	4
23	в своем	4	4
24	не может	4	4
25	в с	2	4
26	а в	6	4
27	том что	11	4
28	в русской	5	4
29	как бы	17	4
30	в нем	3	3
31	и т	3	3
32	в россии	3	3
33	это не	4	3
34	прежде всего	4	3
35	тем самым	7	3
36	и как	4	3
37	но не	3	3
38	могут быть	2	3
39	в себе	2	3
40	тот же	2	3
41	вслед за	2	3
42	потому что	5	3
43	хотя и	3	3
44	я и	3	3
45	не менее	6	2
46	и тем	2	2
47	в мире	4	2
48	именно в	2	2
49	в частности	2	2
50	время в	3	2
51	отнюдь не	5	2
52	все это	10	2
53	во всей	2	2
54	не столько	2	2
55	в жизни	2	2
56	еще более	2	2
57	и других	3	2
58	было в	2	2
59	а не	5	2
60	того что	3	2
61	если в	2	2
62	есть не	2	2
63	одна из	2	2
64	в виде	3	2
65	не нужно	2	2
66	из них	2	2
67	мысль о	2	2
68	в его	13	2
69	и с	3	2
