N	2gram	Tiupa_Anal_1	UchenyiS
1	и в	18	14
2	а не	17	10
3	не только	15	10
4	и не	21	8
5	прежде всего	6	8
6	то что	6	7
7	в этом	13	7
8	не может	22	7
9	в искусстве	2	6
10	может быть	29	6
11	эстетического объекта	11	6
12	в художественном	3	5
13	хотя бы	3	5
14	художественное произведение	5	5
15	художественного творчества	2	5
16	то же	9	5
17	но и	17	4
18	в этой	5	4
19	конечном счете	4	4
20	в их	5	4
21	с другой	4	4
22	в конечном	4	4
23	но в	8	3
24	как и	13	3
25	и то	2	3
26	все же	4	3
27	истории литературы	4	3
28	не следует	4	3
29	в своей	6	3
30	в частности	19	3
31	бы то	3	3
32	произведения искусства	3	3
33	для этого	2	3
34	то ни	3	3
35	же время	6	3
36	другой стороны	2	3
37	для него	2	3
38	это не	6	3
39	в то	9	3
40	было бы	2	3
41	в области	4	3
42	не о	2	3
43	ни было	4	3
44	тех или	2	2
45	том что	12	2
46	но не	10	2
47	в том	27	2
48	не все	2	2
49	в широком	4	2
50	на каждом	2	2
51	художественного произведения	5	2
52	с его	3	2
53	не есть	8	2
54	не в	14	2
55	в противовес	2	2
56	не столько	2	2
57	если бы	3	2
58	не случайно	3	2
59	только в	6	2
60	и с	2	2
61	могут быть	4	2
62	его и	2	2
63	что он	3	2
64	вопроса о	3	2
65	в себе	11	2
66	что мы	3	2
67	же самое	2	2
68	могли бы	2	2
69	этом отношении	2	2
70	в самом	6	2
71	не могут	3	2
72	или иных	2	2
73	по себе	4	2
74	сводится к	5	2
75	одним из	3	2
76	самом деле	2	2
77	а как	2	2
78	и является	2	2
79	что и	3	2
80	в его	13	2
81	более чем	4	2
82	между тем	5	2
83	таким образом	3	2
