N	2gram	Bakhtin_Fr_5	Problema
1	и в	45	44
2	вовсе не	8	37
3	и не	15	35
4	то есть	25	34
5	может быть	2	28
6	потому что	7	25
7	то что	2	23
8	в том	10	21
9	только в	4	19
10	а не	4	18
11	в этом	14	17
12	также и	7	16
13	сказать что	4	16
14	если мы	2	16
15	и даже	4	14
16	не только	14	14
17	не в	7	13
18	то же	11	13
19	но в	14	12
20	том что	7	12
21	не менее	3	10
22	но и	10	10
23	как и	10	10
24	так и	6	10
25	это не	3	9
26	и от	4	9
27	в нем	10	9
28	не имеет	3	9
29	и с	10	9
30	же самое	2	9
31	как бы	12	9
32	так как	6	9
33	что он	6	9
34	в то	11	9
35	в его	13	9
36	что и	7	9
37	в данном	2	9
38	и это	4	9
39	таким образом	8	9
40	перед нами	4	8
41	что в	12	8
42	ни в	3	8
43	а именно	2	8
44	того что	3	8
45	но это	5	8
46	было бы	2	8
47	он не	6	8
48	как раз	5	8
49	как мы	8	8
50	связи с	6	8
51	и вообще	2	8
52	здесь не	6	8
53	данном случае	2	7
54	не может	5	7
55	в связи	5	7
56	еще и	3	7
57	все эти	5	7
58	мы находим	4	7
59	и что	2	7
60	здесь только	2	7
61	с ним	5	7
62	это и	5	7
63	на самом	5	7
64	мы не	4	7
65	можно сказать	2	6
66	и если	2	6
67	в целом	2	6
68	жизни и	8	6
69	и только	2	6
70	и к	5	6
71	о том	4	6
72	все же	2	6
73	мы можем	2	6
74	не было	3	5
75	в конце	7	5
76	с тем	2	5
77	и есть	2	5
78	хотя и	5	5
79	в ней	8	5
80	все это	7	5
81	в своем	11	5
82	а в	4	5
83	точки зрения	4	5
84	и здесь	4	5
85	значение и	2	5
86	и о	4	5
87	в своей	3	5
88	как в	3	5
89	так же	8	5
90	и его	13	5
91	при этом	2	4
92	и притом	2	4
93	и без	2	4
94	дело здесь	3	4
95	всякого рода	2	4
96	чем же	4	4
97	то время	3	4
98	мы уже	4	4
99	а также	4	4
100	на этот	3	4
101	в чем	2	4
102	можно было	4	4
103	нас в	2	4
104	тут же	2	4
105	дело в	3	4
106	же как	4	3
107	и другие	3	3
108	что это	2	3
109	прежде всего	10	3
110	к тому	2	3
111	находим в	3	3
112	и как	5	3
113	в этой	6	3
114	для него	3	3
115	кроме того	4	3
116	когда в	2	3
117	здесь и	5	3
118	в самом	4	3
119	образов и	4	3
120	чем не	2	3
121	но эта	2	3
122	и больше	2	3
123	в которых	3	3
124	его в	5	3
125	и ни	3	3
126	в условиях	2	3
127	об этом	4	3
128	говорить о	2	3
129	но не	4	3
130	в качестве	2	3
131	здесь в	4	3
132	образы и	2	3
133	в заключение	3	3
134	его как	4	3
135	и все	7	3
136	самом деле	5	3
137	хотя бы	2	3
138	отличие от	2	3
139	слова и	2	3
140	есть в	3	3
141	ничего не	4	3
142	вот это	2	2
143	именно в	3	2
144	все они	4	2
145	в отношении	2	2
146	того же	3	2
147	не столько	2	2
148	что все	2	2
149	здесь перед	2	2
150	всех этих	6	2
151	в известной	2	2
152	до сих	3	2
153	роль и	2	2
154	по поводу	4	2
155	о чем	3	2
156	между собою	4	2
157	от его	3	2
158	с ее	5	2
159	и за	2	2
160	и до	2	2
161	от того	3	2
162	в их	4	2
163	происходит в	2	2
164	его не	4	2
165	как на	4	2
166	в основе	4	2
167	с этим	4	2
168	он и	3	2
169	в начале	2	2
170	зрения на	4	2
171	переходит в	2	2
172	бы в	4	2
173	как это	4	2
174	том как	2	2
175	поэтому и	3	2
176	в самой	8	2
177	с которой	2	2
178	нисколько не	3	2
179	и там	2	2
180	для них	2	2
181	это в	2	2
182	на котором	2	2
183	и во	4	2
184	и образ	3	2
185	по существу	3	2
186	мы видели	7	2
187	по своему	4	2
188	есть и	5	2
189	но именно	2	2
190	мы говорили	2	2
191	во всех	13	2
192	произведение в	2	2
193	когда он	2	2
194	не будем	2	2
195	вместе с	3	2
196	сих пор	3	2
197	в отличие	2	2
198	жизнь и	2	2
199	этих образов	7	2
200	и у	5	2
201	и для	3	2
202	с точки	2	2
203	почти всегда	3	2
204	он в	2	2
205	в другом	3	2
206	это было	4	2
