N	2gram	Bakhtin_Fr_1	Otkroven
1	и в	65	19
2	но и	10	13
3	и не	22	13
4	в этом	15	12
5	не в	4	11
6	может быть	6	11
7	не только	10	11
8	и все	5	10
9	в нем	13	10
10	никогда не	6	9
11	в самой	3	9
12	потому что	5	9
13	прежде всего	11	9
14	и он	2	8
15	он был	2	8
16	ни с	2	7
17	до конца	2	7
18	от него	2	7
19	нет ничего	3	7
20	он не	2	7
21	в его	9	7
22	все это	9	6
23	как и	5	6
24	то что	3	5
25	отношение к	4	5
26	в том	16	5
27	для него	5	5
28	в этой	4	5
29	в самом	4	5
30	с его	5	4
31	что не	2	4
32	и его	10	4
33	все эти	10	4
34	не может	3	4
35	человеческих отношений	2	4
36	что в	3	4
37	к нему	3	3
38	не могут	3	3
39	в этих	2	3
40	мысли и	4	3
41	это не	3	3
42	и вот	2	3
43	что он	3	3
44	того что	2	3
45	в своих	5	3
46	еще не	6	3
47	и от	2	3
48	могут быть	2	3
49	в себе	3	3
50	о том	2	3
51	с ним	3	3
52	как бы	22	3
53	это было	2	3
54	все же	6	2
55	и для	2	2
56	так и	10	2
57	жизни в	5	2
58	в своем	8	2
59	и к	4	2
60	и очень	2	2
61	в ее	3	2
62	в других	3	2
63	том что	6	2
64	и на	11	2
65	сказать что	6	2
66	и с	3	2
67	одно из	6	2
68	даже и	3	2
69	его в	7	2
70	в своей	5	2
71	и ни	3	2
72	так как	6	2
73	и этим	2	2
74	ничего не	3	2
75	хотя и	2	2
76	но в	14	2
77	и потому	10	2
