N	2gram	Vygotskiy__2	FransuaR
1	и в	15	49
2	прежде всего	4	19
3	в его	2	18
4	не только	15	17
5	и его	4	17
6	и не	7	15
7	в этом	19	15
8	в них	4	13
9	только в	4	13
10	но и	10	13
11	во время	3	12
12	как и	6	11
13	как бы	7	11
14	и т.п	7	11
15	вовсе не	6	10
16	в этой	6	10
17	все это	4	9
18	для него	3	9
19	и др	5	9
20	в сущности	9	8
21	все же	4	7
22	не может	9	7
23	таким образом	14	7
24	то же	5	7
25	все эти	3	7
26	о мире	3	7
27	как мы	6	7
28	на протяжении	2	7
29	именно в	2	6
30	то что	20	6
31	в истории	6	6
32	в себя	2	6
33	мы уже	6	6
34	во всех	2	6
35	так и	8	6
36	с их	2	6
37	сказать что	6	6
38	и с	4	6
39	точки зрения	26	6
40	так как	4	6
41	с его	4	5
42	никогда не	8	5
43	в своем	9	5
44	уже в	5	5
45	из этих	4	5
46	протяжении всего	2	5
47	в начале	4	5
48	но не	3	5
49	при этом	3	5
50	тот же	7	5
51	может быть	9	5
52	уже говорили	3	5
53	в своей	4	5
54	с точки	18	5
55	в эту	4	5
56	и более	2	4
57	с другой	6	4
58	и к	6	4
59	в себе	2	4
60	том что	27	4
61	но все	2	4
62	в этих	2	4
63	значение в	3	4
64	и до	3	4
65	а в	4	4
66	мы находим	6	4
67	лишь в	3	4
68	тем что	2	4
69	там где	6	4
70	с ним	3	4
71	но в	6	4
72	связана с	4	3
73	в книге	2	3
74	с одной	7	3
75	в течение	2	3
76	в одном	2	3
77	человека и	3	3
78	на все	2	3
79	в собственном	3	3
80	что он	12	3
81	в том	33	3
82	во всем	2	3
83	не дает	2	3
84	одной стороны	7	3
85	было бы	10	3
86	из них	3	3
87	несмотря на	4	3
88	в самом	11	3
89	даже в	4	3
90	и особенно	3	3
91	точка зрения	3	3
92	раз в	2	3
93	с ее	2	3
94	мы видели	6	3
95	ни в	2	3
96	связь с	2	3
97	что для	3	3
98	этом отношении	3	3
99	и все	3	3
100	и других	2	3
101	можно было	5	3
102	также и	2	3
103	их в	4	3
104	и вообще	2	3
105	о том	9	3
106	для которого	3	3
107	и это	3	3
108	видит в	2	3
109	в виду	6	3
110	в противоположность	2	2
111	связи с	9	2
112	что в	14	2
113	могут быть	2	2
114	за пределы	2	2
115	понятно что	2	2
116	в качестве	4	2
117	точку зрения	6	2
118	в предисловии	4	2
119	к необходимости	2	2
120	как известно	6	2
121	на то	6	2
122	можно сказать	2	2
123	в отношении	6	2
124	без всякого	2	2
125	в самой	3	2
126	по существу	5	2
127	от внешней	5	2
128	что они	3	2
129	становится на	2	2
130	все что	5	2
131	по сравнению	5	2
132	ничего не	3	2
133	по поводу	4	2
134	своей книге	2	2
135	очень хорошо	2	2
136	у него	2	2
137	к ней	2	2
138	линии развития	2	2
139	речь и	5	2
140	на этой	2	2
141	вместе с	6	2
142	собственном смысле	3	2
143	ее в	2	2
144	в их	2	2
145	целый ряд	2	2
146	в связи	6	2
147	того как	4	2
148	на самом	3	2
149	того чтобы	12	2
150	и эта	2	2
151	и даже	5	2
152	так же	4	2
153	другом месте	2	2
154	на основе	7	2
155	тому как	2	2
156	во всяком	7	2
157	одной из	3	2
158	подобно тому	2	2
159	в другом	2	2
160	во все	2	2
161	мы должны	6	2
162	на эту	2	2
163	и т.д	12	2
164	сравнению с	5	2
165	он как	2	2
166	всяком случае	6	2
167	мы можем	10	2
