N	2gram	Medvedev_V_1	Problema
1	и в	26	44
2	вовсе не	3	37
3	и не	19	35
4	может быть	22	28
5	по себе	2	25
6	то что	6	23
7	в том	15	21
8	только в	7	19
9	а не	7	18
10	в этом	26	17
11	также и	2	16
12	сказать что	5	16
13	даже и	3	16
14	и даже	2	14
15	художественного произведения	6	14
16	не только	25	14
17	не в	6	13
18	и т	23	13
19	т д	14	13
20	то же	10	13
21	но в	2	12
22	том что	8	12
23	не является	5	11
24	не менее	2	10
25	то это	2	10
26	но и	10	10
27	в виду	4	10
28	отнюдь не	3	10
29	у нас	2	10
30	как и	7	10
31	так и	5	10
32	это не	7	9
33	и от	3	9
34	в нем	6	9
35	же самое	2	9
36	как бы	5	9
37	что он	4	9
38	художественный образ	5	9
39	в то	6	9
40	в его	14	9
41	что и	3	9
42	таким образом	31	9
43	перед нами	4	8
44	что в	10	8
45	или иной	2	8
46	смысле слова	2	8
47	того что	3	8
48	что мы	2	8
49	при помощи	3	8
50	было бы	7	8
51	он не	2	8
52	художественное произведение	5	8
53	как раз	3	8
54	в себе	6	8
55	связи с	4	8
56	с другой	11	7
57	не может	17	7
58	в связи	3	7
59	еще и	2	7
60	все эти	6	7
61	это и	6	7
62	и потому	2	7
63	значит что	2	7
64	никогда не	4	6
65	можно сказать	4	6
66	в целом	4	6
67	жизни и	3	6
68	того или	2	6
69	у пушкина	2	6
70	и к	3	6
71	о том	10	6
72	все же	5	6
73	не было	7	5
74	в конце	3	5
75	крайней мере	2	5
76	что они	3	5
77	с тем	3	5
78	как о	2	5
79	и есть	5	5
80	хотя и	2	5
81	в ней	2	5
82	другой стороны	8	5
83	все это	10	5
84	в своем	8	5
85	а в	3	5
86	точки зрения	3	5
87	по крайней	2	5
88	еще не	2	5
89	в своей	4	5
90	так же	3	5
91	и его	6	5
92	он сам	2	4
93	можно ли	2	4
94	но даже	3	4
95	тому что	6	4
96	отличается от	2	4
97	заключается в	2	4
98	же и	2	4
99	чем же	4	4
100	в искусстве	6	4
101	но как	3	4
102	что даже	2	4
103	в ее	4	4
104	только с	2	4
105	в чем	2	4
106	или в	3	4
107	можно было	2	4
108	же как	2	3
109	формы и	2	3
110	из себя	2	3
111	что у	2	3
112	только о	2	3
113	прежде всего	13	3
114	к тому	4	3
115	идеи и	6	3
116	и как	3	3
117	в этой	4	3
118	для него	8	3
119	в самом	4	3
120	образов и	4	3
121	что для	3	3
122	в которых	3	3
123	понимать как	2	3
124	самого себя	2	3
125	его в	3	3
126	конце концов	2	3
127	могло бы	2	3
128	в порядке	5	3
129	если бы	3	3
130	для его	4	3
131	значит и	3	3
132	об этом	9	3
133	художественном произведении	4	3
134	же в	6	3
135	говорить о	2	3
136	но не	2	3
137	в качестве	11	3
138	в художественном	10	3
139	она не	3	3
140	образы и	5	3
141	во всей	2	3
142	что такое	2	3
143	хотя бы	19	3
144	с другими	2	3
145	этот вопрос	3	3
146	имеет свою	3	3
147	и ее	4	3
148	будто бы	2	3
149	вот это	2	2
150	именно в	2	2
151	в частности	11	2
152	образа в	2	2
153	все они	2	2
154	не столько	2	2
155	что все	3	2
156	своих героев	2	2
157	всех этих	2	2
158	является не	4	2
159	в нашей	4	2
160	по поводу	2	2
161	о чем	2	2
162	со своим	2	2
163	у тургенева	3	2
164	между собою	2	2
165	от его	2	2
166	в котором	3	2
167	из них	9	2
168	от того	2	2
169	в их	5	2
170	с одной	2	2
171	что оно	3	2
172	этой точки	2	2
173	произведения и	7	2
174	и по	3	2
175	его не	3	2
176	как на	3	2
177	чего бы	2	2
178	в результате	5	2
179	с этим	3	2
180	он и	2	2
181	только то	2	2
182	бы в	3	2
183	как это	12	2
184	мы имеем	3	2
185	том как	3	2
186	произведения в	7	2
187	а как	2	2
188	с нею	2	2
189	о его	2	2
190	по существу	3	2
191	мы видели	3	2
192	и при	5	2
193	что при	2	2
194	и может	2	2
195	между прочим	2	2
196	во всех	6	2
197	в слове	3	2
198	когда он	3	2
199	в процессе	16	2
200	вместе с	7	2
201	на основании	8	2
202	даже не	2	2
203	только что	4	2
204	из которых	2	2
205	и у	2	2
206	и для	2	2
207	у них	2	2
208	художественной структуры	2	2
209	пока еще	2	2
210	л толстой	10	2
211	но с	2	2
212	могут быть	5	2
213	в другом	2	2
214	в которой	2	2
215	например не	2	2
