N	2gram	Bakhtin_Pr_3	Vvedenie
1	и т	8	42
2	т д	2	36
3	т е	12	35
4	и в	34	32
5	в том	3	31
6	в этом	16	30
7	может быть	19	26
8	том что	3	26
9	не только	10	22
10	таким образом	5	19
11	то что	11	16
12	потому что	12	15
13	так как	4	15
14	не может	19	14
15	в самом	8	13
16	в нем	19	13
17	о том	2	13
18	того что	5	12
19	в общем	4	12
20	и не	29	12
21	как на	2	12
22	в его	22	12
23	только в	6	12
24	как мы	7	11
25	что такое	2	11
26	в ее	3	11
27	что в	7	10
28	но в	16	9
29	и как	3	9
30	между тем	3	9
31	этом смысле	4	9
32	по себе	3	9
33	то же	14	9
34	в той	2	9
35	не менее	3	8
36	с другой	4	8
37	это не	5	8
38	тем не	2	8
39	не в	9	8
40	прежде всего	15	7
41	вопрос о	2	7
42	смысле этого	2	7
43	точки зрения	8	7
44	но не	4	7
45	было бы	2	7
46	все же	7	7
47	самом деле	13	7
48	же время	12	6
49	один из	2	6
50	но и	12	6
51	все это	16	6
52	и даже	7	6
53	в то	12	6
54	его в	4	6
55	как он	3	6
56	с тем	5	6
57	вовсе не	11	6
58	как и	18	6
59	хотя бы	5	6
60	и его	16	6
61	тем что	4	6
62	и это	4	6
63	уже в	3	5
64	так что	5	5
65	как бы	27	5
66	в целом	5	5
67	а как	2	5
68	другой стороны	3	5
69	в которых	2	5
70	сказать что	2	5
71	в них	2	5
72	по своему	3	5
73	вместе с	4	5
74	т п	6	5
75	а не	9	5
76	что не	7	5
77	на вопрос	4	4
78	с этой	2	4
79	в каждом	3	4
80	этом случае	2	4
81	о чем	2	4
82	всяком случае	5	4
83	в котором	3	4
84	по отношению	5	4
85	и что	5	4
86	а в	5	4
87	даже и	4	4
88	как она	2	4
89	по крайней	3	4
90	что он	23	4
91	еще не	4	4
92	крайней мере	3	4
93	отношению к	6	4
94	в своей	3	4
95	только что	3	4
96	как раз	4	4
97	в виде	4	4
98	уже не	2	4
99	и для	8	4
100	той же	2	4
101	и то	3	4
102	во всяком	5	4
103	и ее	2	4
104	в себе	6	4
105	только с	3	4
106	за собой	3	3
107	совсем не	3	3
108	он сам	5	3
109	сама по	2	3
110	что это	5	3
111	понятно что	2	3
112	вообще не	2	3
113	в конце	5	3
114	бы и	4	3
115	к тому	5	3
116	сливается с	3	3
117	да и	4	3
118	но все	5	3
119	на этом	4	3
120	что с	3	3
121	до конца	3	3
122	при этом	4	3
123	от себя	6	3
124	хотя и	3	3
125	в ней	3	3
126	в виду	3	3
127	к нему	14	3
128	мы видели	3	3
129	отношение к	6	3
130	из них	5	3
131	в своем	2	3
132	все эти	4	3
133	и вот	5	3
134	так же	8	3
135	и на	6	3
136	говорить о	3	3
137	в начале	4	3
138	что даже	2	3
139	на нее	2	3
140	нисколько не	2	3
141	если бы	4	3
142	однако в	2	3
143	не как	3	3
144	и к	12	3
145	говорит о	2	3
146	в чем	5	3
147	так чтобы	3	3
148	в одном	5	3
149	в сущности	11	3
150	что и	5	3
151	своего рода	2	3
152	что же	8	3
153	но с	2	3
154	и вообще	2	3
155	как будто	7	3
156	или как	2	3
157	все время	5	2
158	это уже	2	2
159	никогда не	8	2
160	тому что	2	2
161	для этого	3	2
162	в отношении	9	2
163	это в	2	2
164	или иной	2	2
165	но зато	3	2
166	из его	4	2
167	но это	4	2
168	такого же	2	2
169	и сам	5	2
170	мог бы	2	2
171	в форме	2	2
172	не было	2	2
173	о них	2	2
174	не мог	5	2
175	есть только	3	2
176	должно быть	3	2
177	рядом с	4	2
178	только так	2	2
179	каждый из	2	2
180	и с	15	2
181	говорит он	3	2
182	и так	5	2
183	с этим	2	2
184	нуждается в	3	2
185	он и	5	2
186	той или	2	2
187	а так	2	2
188	конце концов	3	2
189	бы в	3	2
190	и должно	2	2
191	так и	6	2
192	этого не	3	2
193	и со	2	2
194	лежит в	2	2
195	на тему	2	2
196	надо было	2	2
197	не с	2	2
198	его к	3	2
199	время не	2	2
200	должна была	2	2
201	того же	2	2
202	во всех	2	2
203	мы должны	5	2
204	жизни и	3	2
205	бы с	2	2
206	мы уже	6	2
207	себе и	5	2
208	не бывает	2	2
209	этого слова	7	2
210	в этот	2	2
211	быть и	2	2
212	только на	4	2
213	входит в	2	2
214	с точки	4	2
215	тому как	2	2
216	подобно тому	2	2
217	в другом	8	2
218	на протяжении	5	2
219	будто бы	2	2
220	ничего не	4	2
