N	3gram	Losev_Dial_1	Psycholo
1	на то что	4	16
2	в том что	7	14
3	с одной стороны	2	12
4	к тому что	2	6
5	о том что	2	6
6	до сих пор	2	5
7	с другой стороны	4	5
8	по сравнению с	2	4
9	друг к другу	2	4
10	в этом отношении	2	3
11	иметь в виду	3	3
12	сам по себе	6	3
13	и то же	4	3
14	одно и то	4	3
15	и т д	19	3
16	можно было бы	4	3
17	и т п	2	3
18	можно сказать что	3	2
19	в конце концов	3	2
20	той или иной	3	2
21	может быть и	3	2
22	с точки зрения	12	2
23	не может быть	3	2
24	само по себе	5	2
25	на самом деле	2	2
26	по себе не	5	2
27	потому что он	3	2
