N	2gram	Potebnia_M_1	OGranits
1	и в	39	13
2	и его	5	12
3	прежде всего	4	9
4	не может	22	8
5	и не	18	8
6	может быть	27	8
7	и их	3	7
8	точки зрения	8	7
9	в его	5	7
10	таким образом	13	6
11	не только	21	6
12	то что	10	6
13	только в	25	6
14	мы должны	3	6
15	как бы	6	6
16	все же	6	5
17	с точки	3	5
18	языка и	17	5
19	хотя бы	2	5
20	то же	6	4
21	в своей	3	4
22	вопроса о	2	4
23	в каждом	4	4
24	мы не	10	4
25	мы можем	2	4
26	слов и	4	4
27	было бы	12	4
28	в сознании	3	4
29	но в	9	4
30	отношению к	13	3
31	что в	22	3
32	никогда не	4	3
33	но и	20	3
34	так и	13	3
35	что же	2	3
36	в их	2	3
37	по отношению	13	3
38	и все	3	3
39	в одном	8	3
40	к одному	2	3
41	языка как	5	3
42	как и	9	3
43	не в	15	3
44	за пределы	2	3
45	в которой	2	3
46	и то	3	3
47	в себе	13	3
48	ничего общего	2	3
49	с этим	7	3
50	и для	5	3
51	так как	21	3
52	не менее	6	2
53	для себя	3	2
54	с этой	2	2
55	а как	2	2
56	самого начала	3	2
57	и тем	3	2
58	в нем	20	2
59	в целом	2	2
60	о языке	3	2
61	а не	21	2
62	думать что	3	2
63	отношений между	3	2
64	другой стороны	5	2
65	с другой	7	2
66	в языке	33	2
67	в них	3	2
68	и должно	2	2
69	а в	5	2
70	с одной	3	2
71	в течение	2	2
72	в полном	2	2
73	вовсе не	5	2
74	есть не	2	2
75	с самого	3	2
76	к тому	4	2
77	как в	10	2
78	если бы	14	2
79	не имеет	5	2
80	в г	2	2
81	в том	26	2
82	что иное	2	2
83	так же	5	2
84	не мог	3	2
85	том что	16	2
86	мы видим	4	2
87	языка но	3	2
88	в своих	4	2
89	в этом	15	2
90	тем что	9	2
91	между тем	5	2
92	и следовательно	2	2
93	могут быть	9	2
94	при этом	6	2
95	нуждается в	2	2
96	истории языка	2	2
97	не что	2	2
98	для него	4	2
99	во всем	4	2
100	одной стороны	3	2
101	и может	2	2
102	в действительности	4	2
103	несмотря на	5	2
104	его на	2	2
105	слова и	4	2
106	нет ничего	2	2
107	в самом	3	2
108	мог бы	2	2
109	и при	3	2
110	имеет место	2	2
111	которое мы	2	2
112	там где	4	2
113	бы в	4	2
114	на язык	7	2
115	между собою	6	2
116	в ней	7	2
117	иное как	2	2
118	явлений и	3	2
