N	2gram	Kanaev_Sov_1	Analitik
1	может быть	12	29
2	в том	4	27
3	не может	17	22
4	и не	6	21
5	и в	7	18
6	а не	3	17
7	отнюдь не	3	15
8	не только	4	15
9	не в	3	14
10	как и	6	13
11	в его	2	13
12	в этом	7	13
13	при этом	3	12
14	в себе	3	11
15	то же	3	9
16	а в	4	9
17	но в	3	8
18	времени и	2	6
19	это не	4	6
20	прежде всего	5	6
21	или иной	2	6
22	в самом	2	6
23	в отличие	2	6
24	отличие от	2	6
25	точки зрения	12	6
26	в этой	3	5
27	что в	2	5
28	такого рода	2	5
29	как бы	4	5
30	в целом	4	5
31	могут быть	2	4
32	в области	3	4
33	все же	3	4
34	вместе с	4	4
35	уже не	2	4
36	из которых	2	4
37	с точки	5	4
38	не могут	2	3
39	и есть	2	3
40	в нашем	2	3
41	то ни	2	3
42	и все	3	3
43	в нем	3	3
44	и к	3	3
45	она может	2	3
46	как известно	2	3
47	еще не	3	3
48	таким образом	11	3
49	принципиально не	2	3
50	с одной	2	3
51	в таком	2	3
52	как он	3	3
53	своего предмета	2	3
54	может иметь	2	2
55	все эти	5	2
56	между собой	3	2
57	из этих	2	2
58	вопрос о	4	2
59	и потому	3	2
60	такой же	2	2
61	было бы	3	2
62	на его	2	2
63	нет и	4	2
64	он может	3	2
65	из них	4	2
66	что же	5	2
67	отличается от	3	2
68	на этом	2	2
69	той же	2	2
70	самом деле	2	2
71	и по	2	2
72	роль в	2	2
73	как мы	2	2
74	из четырех	2	2
75	же самое	2	2
76	в первом	3	2
77	так как	4	2
78	в которой	2	2
