N	2gram	Ircho_Kome_1	RusskieA
1	и в	22	36
2	не только	10	22
3	что в	6	19
4	том что	12	19
5	в том	11	17
6	т е	13	17
7	в и	2	17
8	но и	11	16
9	так как	4	15
10	во время	5	14
11	в этом	3	12
12	в других	2	11
13	как мы	4	10
14	как и	9	10
15	и т	9	10
16	вместе с	2	10
17	и на	3	10
18	потому что	5	10
19	т д	4	9
20	а в	6	9
21	у нас	3	8
22	из них	10	8
23	может быть	9	8
24	один из	5	8
25	и по	6	8
26	е в	2	8
27	о том	8	8
28	как это	3	8
29	что они	4	7
30	что и	4	7
31	так и	5	7
32	и других	7	7
33	между тем	5	7
34	и не	8	6
35	при этом	5	6
36	в них	3	6
37	таким образом	8	6
38	мы не	3	6
39	все это	5	6
40	в виде	3	6
41	то что	2	6
42	будто бы	2	6
43	все же	3	5
44	как будто	2	5
45	в течение	3	5
46	и у	3	5
47	как в	5	5
48	там же	3	5
49	того как	3	5
50	в эти	2	4
51	к этому	4	4
52	в тех	3	4
53	к тому	6	4
54	в г	11	4
55	одна из	2	4
56	еще не	2	4
57	еще в	5	4
58	в их	4	4
59	так в	4	4
60	не может	2	4
61	но это	2	4
62	тем что	4	4
63	г в	4	4
64	только в	3	4
65	что по	2	4
66	не менее	3	3
67	для них	2	3
68	можно сделать	3	3
69	связанные с	2	3
70	в качестве	4	3
71	чаще всего	3	3
72	в одном	8	3
73	в свою	2	3
74	от них	2	3
75	тем не	2	3
76	вывод что	2	3
77	на этом	2	3
78	несмотря на	4	3
79	как правило	3	3
80	а также	4	3
81	по содержанию	3	3
82	в честь	3	3
83	и из	2	3
84	также в	2	3
85	то же	6	3
86	в уже	2	3
87	так же	3	3
88	ничего не	3	3
89	точки зрения	4	3
90	в области	2	3
91	независимо от	2	2
92	в частности	3	2
93	могут быть	3	2
94	что у	2	2
95	в образе	3	2
96	главным образом	3	2
97	на все	2	2
98	в нем	4	2
99	у него	3	2
100	в в	4	2
101	он был	2	2
102	судить по	3	2
103	и как	3	2
104	в силу	2	2
105	такой же	2	2
106	их к	3	2
107	но не	2	2
108	как известно	2	2
109	после того	3	2
110	до конца	2	2
111	в его	5	2
112	в доме	2	2
113	и с	3	2
114	в целом	3	2
115	судя по	2	2
116	как по	2	2
117	находится в	2	2
118	и и	3	2
119	за счет	3	2
120	в первые	2	2
121	для этого	2	2
122	должны были	8	2
123	между прочим	2	2
124	в году	3	2
125	а мы	2	2
126	или в	2	2
127	в древней	2	2
128	в своих	2	2
129	мы можем	4	2
130	хотя и	3	2
131	должна была	2	2
132	к ней	2	2
133	на себя	2	2
134	это время	2	2
135	и здесь	2	2
136	но в	4	2
137	в более	3	2
