N	2gram	Tiupa_Narr_1	VeschiIm
1	не может	8	33
2	не только	31	31
3	может быть	15	29
4	и не	23	28
5	и в	11	26
6	то что	9	24
7	а не	13	20
8	только в	12	14
9	того что	4	13
10	по себе	4	13
11	но и	27	12
12	сказать что	2	12
13	все же	4	12
14	и то	3	12
15	и ее	3	12
16	то же	8	10
17	уже не	8	10
18	в ней	4	10
19	как бы	6	10
20	потому что	5	10
21	что мы	2	10
22	в том	8	9
23	в самом	6	9
24	и с	3	9
25	прежде всего	4	9
26	что не	2	9
27	на то	2	8
28	с ее	2	8
29	в себе	6	8
30	ничего не	2	8
31	также и	3	7
32	в то	4	7
33	если она	2	7
34	том что	7	7
35	себя в	2	7
36	не будет	2	7
37	как раз	6	7
38	в этом	12	7
39	и как	3	6
40	что в	3	6
41	для него	4	6
42	жизни и	6	6
43	со стороны	8	6
44	и только	2	6
45	в результате	2	6
46	точки зрения	5	6
47	но в	7	6
48	одно и	2	6
49	она не	2	6
50	с ним	2	6
51	не менее	3	5
52	это не	3	5
53	тем не	3	5
54	не в	6	5
55	свою очередь	2	5
56	еще не	4	5
57	а в	13	5
58	или не	4	5
59	если бы	7	5
60	отнюдь не	2	5
61	в свою	2	5
62	у нас	3	5
63	одна из	4	5
64	но не	4	5
65	в сущности	2	5
66	и для	2	5
67	на себя	4	5
68	ни от	2	5
69	в чем	2	5
70	в своем	3	4
71	с другой	2	4
72	же время	4	4
73	точка зрения	5	4
74	из них	4	4
75	быть не	3	4
76	и даже	2	4
77	о том	4	4
78	не существует	3	4
79	и все	3	4
80	как и	13	4
81	и о	3	4
82	оно не	2	4
83	быть и	2	4
84	между ними	2	4
85	мы не	3	4
86	в данном	11	4
87	никогда не	4	3
88	можно сказать	5	3
89	к тому	6	3
90	в нем	4	3
91	о ней	3	3
92	их в	3	3
93	к себе	4	3
94	но как	3	3
95	мы имеем	3	3
96	в одном	4	3
97	в жизни	3	3
98	один из	6	3
99	что он	3	3
100	она может	2	3
101	и притом	2	3
102	ни о	2	3
103	в своей	5	3
104	вместе с	2	3
105	так и	5	3
106	да и	2	3
107	только на	2	3
108	и тогда	2	3
109	в той	2	3
110	самом деле	3	3
111	того чтобы	4	3
112	хотя бы	2	3
113	тому как	3	3
114	подобно тому	3	3
115	я в	2	3
116	казалось бы	2	2
117	это уже	3	2
118	в частности	14	2
119	его и	2	2
120	что на	4	2
121	но зато	2	2
122	не говорит	3	2
123	переход от	2	2
124	в сфере	2	2
125	и тем	4	2
126	в первой	2	2
127	данном случае	8	2
128	и вот	2	2
129	в слове	3	2
130	во втором	6	2
131	не мог	6	2
132	первом случае	3	2
133	в первом	4	2
134	как это	3	2
135	как она	2	2
136	то есть	9	2
137	мы можем	2	2
138	но они	3	2
139	о чем	4	2
140	жизни в	2	2
141	то в	4	2
142	в качестве	14	2
143	к ее	2	2
144	но именно	3	2
145	никак не	2	2
146	об этом	6	2
147	он не	3	2
148	как в	4	2
149	и сама	2	2
150	тогда как	10	2
151	если не	2	2
152	все равно	2	2
153	как мы	2	2
154	для того	3	2
155	тем же	2	2
156	к чему	3	2
157	и его	10	2
158	во всяком	2	2
159	на ее	2	2
160	дело в	2	2
161	в особенности	2	2
162	это было	2	2
