N	2gram	Medvedev_U_1	Myslijsy
1	и в	14	24
2	может быть	6	23
3	то что	7	20
4	и не	8	19
5	а не	10	18
6	в том	2	18
7	по себе	2	15
8	не только	10	15
9	было бы	3	13
10	не в	2	13
11	но не	2	12
12	не может	7	12
13	то же	5	12
14	если бы	2	11
15	что мы	2	11
16	что и	2	11
17	мы не	2	11
18	только в	2	11
19	таким образом	2	11
20	для него	3	10
21	в себе	2	10
22	но и	4	9
23	том что	2	8
24	в этом	7	8
25	могут быть	2	8
26	не могут	2	7
27	прежде всего	8	7
28	как и	3	7
29	тем что	2	7
30	с другой	4	6
31	не есть	2	6
32	между тем	2	6
33	в то	3	6
34	и только	5	6
35	по крайней	2	5
36	крайней мере	2	5
37	представляется нам	2	5
38	все же	3	5
39	а между	2	4
40	что он	2	4
41	до сих	2	4
42	в самом	2	4
43	в некоторых	2	4
44	сих пор	2	4
45	если не	2	4
46	но в	3	4
47	смысле этого	2	3
48	но даже	2	3
49	это не	3	3
50	не как	3	3
51	ни было	3	3
52	очевидно что	3	3
53	но это	2	3
54	что она	2	3
55	и у	2	3
56	и для	2	3
57	вряд ли	3	3
58	и то	3	3
59	всех этих	2	2
60	этом смысле	2	2
61	перестает быть	5	2
62	превращается в	2	2
63	хотя бы	5	2
64	не столько	2	2
65	что все	2	2
66	с его	2	2
67	у нас	3	2
68	же время	3	2
69	в его	2	2
70	не все	2	2
71	все это	5	2
72	другой стороны	3	2
73	самом деле	2	2
74	что такое	4	2
75	нас в	2	2
76	даже и	2	2
77	могли бы	2	2
78	это было	2	2
