N	2gram	Propp_Isto_2	Tvorches
1	и в	15	20
2	не только	18	13
3	и т	19	13
4	никогда не	15	11
5	т д	18	11
6	как бы	6	11
7	в его	6	10
8	таким образом	7	10
9	и его	3	9
10	и не	11	9
11	прежде всего	5	8
12	в том	6	8
13	при этом	4	8
14	но и	14	8
15	может быть	17	8
16	в этом	11	8
17	и с	4	8
18	это не	2	7
19	представление о	2	7
20	наряду с	6	7
21	что в	12	7
22	не может	5	7
23	то же	10	7
24	потому что	9	7
25	у него	4	6
26	что он	24	6
27	как и	2	6
28	так и	5	6
29	все это	3	6
30	именно в	2	6
31	а не	5	6
32	в основном	2	6
33	но это	4	5
34	еще не	9	5
35	но не	2	5
36	например в	2	5
37	все же	9	5
38	так же	13	5
39	и на	4	5
40	в этой	4	5
41	о том	3	5
42	об этом	11	4
43	что у	2	4
44	мы не	3	4
45	показывает что	4	4
46	том что	7	4
47	мы видим	8	4
48	что они	10	4
49	на его	2	4
50	что она	5	4
51	когда он	3	4
52	как в	5	4
53	все эти	4	4
54	тем самым	2	4
55	не в	7	4
56	а в	12	4
57	ничего не	7	4
58	но в	6	4
59	а с	2	3
60	же как	5	3
61	превращается в	2	3
62	в одной	4	3
63	а затем	2	3
64	отношению к	3	3
65	одна из	2	3
66	у нее	4	3
67	одной из	4	3
68	в область	4	3
69	он не	8	3
70	в котором	5	3
71	и др	4	3
72	один из	8	3
73	в нем	7	3
74	то что	12	3
75	и это	3	3
76	вместе с	7	3
77	сих пор	7	3
78	в их	3	3
79	по отношению	3	3
80	так как	14	3
81	человека в	2	3
82	в свете	2	3
83	тем что	4	3
84	в которых	2	3
85	в себе	4	3
86	его в	10	3
87	нет ничего	2	3
88	до сих	6	3
89	уже в	2	2
90	зависит от	2	2
91	и есть	5	2
92	его и	4	2
93	с другой	2	2
94	не знал	2	2
95	в одном	5	2
96	я не	2	2
97	такой же	2	2
98	и ее	2	2
99	тому же	2	2
100	д и	2	2
101	так что	6	2
102	и если	2	2
103	но если	3	2
104	в руки	2	2
105	я буду	3	2
106	на него	5	2
107	приводит к	2	2
108	так в	3	2
109	не было	2	2
110	самом деле	2	2
111	и что	6	2
112	связь с	4	2
113	и наконец	5	2
114	другой стороны	2	2
115	и по	2	2
116	роль в	3	2
117	с другими	2	2
118	с ними	2	2
119	тут же	2	2
120	не столько	2	2
121	что этот	3	2
122	из них	2	2
123	могут быть	2	2
124	в которой	2	2
125	и только	2	2
126	только в	6	2
127	в русской	5	2
128	при помощи	2	2
129	так сказать	2	2
130	их в	2	2
131	только с	2	2
132	к которому	5	2
