N	2gram	Vinokur_St_1	NovoeSre
1	а не	16	17
2	не может	8	16
3	и в	44	16
4	совсем не	2	12
5	и не	16	11
6	что в	30	9
7	в эпоху	2	9
8	жизни и	5	8
9	он не	2	8
10	в том	36	8
11	как и	9	7
12	в этом	21	7
13	может быть	15	7
14	никогда не	5	6
15	не знает	2	6
16	не в	12	6
17	лишь в	3	6
18	но это	6	6
19	ни в	3	6
20	должен быть	3	5
21	в нем	5	5
22	все это	5	5
23	культуры в	3	5
24	в ней	3	5
25	не только	18	5
26	не менее	5	4
27	то что	18	4
28	это не	8	4
29	и все	2	4
30	не было	4	4
31	не имеет	4	4
32	и для	3	4
33	эпохи и	3	4
34	потому что	6	4
35	прежде всего	7	4
36	о том	17	4
37	значит что	3	4
38	и потому	2	4
39	но и	10	3
40	не существует	3	3
41	должна быть	3	3
42	в своей	6	3
43	в истории	3	3
44	с другой	9	3
45	вопрос о	4	3
46	во всех	8	3
47	право и	2	3
48	в ее	4	3
49	в основе	3	3
50	конечно не	2	3
51	как в	13	3
52	она не	2	3
53	еще не	3	3
54	в россии	4	3
55	за пределы	2	3
56	сказать что	7	3
57	не значит	3	3
58	что все	2	2
59	я не	7	2
60	у него	2	2
61	так и	9	2
62	что она	4	2
63	для этого	2	2
64	другой стороны	7	2
65	а в	17	2
66	я уже	3	2
67	с одной	3	2
68	все эти	5	2
69	думать что	2	2
70	стремление к	3	2
71	быть в	2	2
72	такой же	5	2
73	того чтобы	11	2
74	одной стороны	2	2
75	и даже	5	2
76	хотя бы	6	2
77	но не	3	2
78	так же	5	2
79	по существу	2	2
80	это и	4	2
81	время как	2	2
82	мы не	2	2
83	том что	29	2
84	можно было	13	2
85	но я	4	2
86	есть в	2	2
87	же как	3	2
88	можно назвать	2	2
89	и с	3	2
90	и что	4	2
91	могут быть	5	2
92	с этим	3	2
93	в себе	2	2
94	ведь и	3	2
95	в то	9	2
96	не могла	2	2
97	как будто	4	2
98	и это	2	2
99	такого рода	2	2
100	как это	4	2
101	но для	2	2
102	должно было	2	2
103	но в	10	2
104	и творчества	2	2
105	в новом	4	2
