N	2gram	Ircho_Kome_3	Dialekti
1	т е	16	48
2	и не	21	27
3	а не	4	26
4	точки зрения	4	25
5	и в	22	24
6	и т	4	24
7	не только	5	23
8	не может	3	19
9	ничего не	3	17
10	и что	6	15
11	в таком	2	14
12	то что	4	14
13	с точки	3	14
14	может быть	6	13
15	таким образом	12	13
16	и даже	3	13
17	что он	8	13
18	вовсе не	4	13
19	не менее	5	11
20	не имеет	3	11
21	тем не	3	10
22	отнюдь не	4	10
23	в сущности	2	10
24	ни в	10	9
25	то это	5	9
26	но и	4	9
27	что она	4	9
28	нет ничего	2	9
29	прежде всего	5	8
30	так что	6	8
31	что мы	2	8
32	том что	13	8
33	в этом	8	8
34	если же	2	8
35	что в	5	7
36	никогда не	3	7
37	в самом	9	7
38	потому что	10	7
39	в виду	2	7
40	ясно что	6	7
41	как и	3	7
42	как раз	6	7
43	ничем не	4	7
44	но если	3	6
45	все это	5	6
46	и с	4	6
47	о том	8	6
48	так как	11	6
49	если бы	8	6
50	и все	2	6
51	об этом	7	6
52	что и	8	6
53	даже не	3	6
54	то же	7	6
55	самом деле	6	6
56	с этой	3	5
57	от отца	2	5
58	в том	12	5
59	что его	5	5
60	только как	2	5
61	хотя и	5	5
62	и его	6	5
63	что для	2	5
64	в то	6	5
65	как это	5	5
66	в них	3	5
67	и к	3	5
68	было бы	3	5
69	он не	5	5
70	так и	4	5
71	что не	3	5
72	мы не	2	5
73	тому что	2	4
74	с другой	4	4
75	это не	2	4
76	не могут	2	4
77	то время	2	4
78	к тому	6	4
79	хотя бы	4	4
80	так же	4	4
81	время как	2	4
82	нет и	4	4
83	говорить о	3	4
84	конечно не	3	4
85	от того	2	4
86	только что	7	4
87	при всем	2	4
88	е в	2	4
89	и это	2	4
90	не было	2	3
91	все же	4	3
92	все время	2	3
93	за пределы	2	3
94	и без	2	3
95	в своем	8	3
96	и я	2	3
97	мы знаем	2	3
98	не в	4	3
99	она не	2	3
100	же время	5	3
101	одной стороны	3	3
102	в основе	2	3
103	тем более	4	3
104	в нем	3	3
105	из них	5	3
106	с одной	3	3
107	того кто	2	3
108	друг друга	4	3
109	и на	2	3
110	с этим	3	3
111	он и	2	3
112	тем что	5	3
113	на себя	4	3
114	в силу	2	3
115	на то	3	3
116	все что	3	3
117	и о	2	3
118	не будет	2	3
119	как бы	3	3
120	если не	3	3
121	для того	6	3
122	из которых	2	3
123	к нему	5	3
124	и ее	2	3
125	не знает	3	3
126	и этим	3	3
127	что их	2	2
128	в частности	3	2
129	из того	3	2
130	тому же	6	2
131	еще не	6	2
132	при этом	7	2
133	несмотря на	4	2
134	и если	2	2
135	не о	3	2
136	себя и	2	2
137	всяком случае	3	2
138	совершенно не	2	2
139	так или	2	2
140	другой стороны	2	2
141	она была	2	2
142	целый ряд	2	2
143	да что	2	2
144	его не	2	2
145	а в	7	2
146	нет никаких	2	2
147	в своих	2	2
148	меньше чем	2	2
149	людей и	2	2
150	их в	3	2
151	в ней	4	2
152	и здесь	4	2
153	бы в	4	2
154	к этой	2	2
155	нет ни	2	2
156	но в	5	2
157	с его	3	2
158	не мешает	2	2
159	у него	4	2
160	как видим	2	2
161	нового времени	2	2
162	и во	2	2
163	сама она	2	2
164	в их	2	2
165	все еще	2	2
166	по существу	2	2
167	тех пор	3	2
168	со стороны	11	2
169	на них	3	2
170	на основании	2	2
171	даже если	2	2
172	все равно	3	2
173	как мы	2	2
174	и он	2	2
175	и для	4	2
176	хочет быть	2	2
177	или иначе	2	2
178	бы то	2	2
179	во всяком	3	2
180	из себя	3	2
181	в себе	4	2
182	его на	2	2
183	из этого	2	2
184	в его	8	2
185	отца и	2	2
186	к отцу	2	2
