N	2gram	Propp_Isto_5	Vvedenie
1	и т	20	42
2	т д	18	36
3	т е	16	35
4	и в	25	32
5	в том	6	31
6	в этом	10	30
7	может быть	17	26
8	том что	8	26
9	не только	13	22
10	для того	3	21
11	того чтобы	3	20
12	таким образом	9	19
13	то что	7	16
14	потому что	7	15
15	так как	11	15
16	не может	6	14
17	в нем	7	13
18	о том	7	13
19	со стороны	2	13
20	того что	2	12
21	и не	11	12
22	представляет собой	7	12
23	в его	12	12
24	только в	7	12
25	как мы	5	11
26	ясно что	5	11
27	в ее	4	11
28	в данном	3	11
29	что в	8	10
30	и как	3	9
31	в истории	4	9
32	по себе	2	9
33	то же	4	9
34	не менее	4	8
35	с другой	9	8
36	это не	6	8
37	тем не	4	8
38	не в	6	8
39	прежде всего	6	7
40	вопрос о	2	7
41	точки зрения	2	7
42	уже и	2	7
43	но не	5	7
44	все же	10	7
45	самом деле	2	7
46	до сих	2	6
47	том чтобы	2	6
48	один из	2	6
49	но и	13	6
50	все это	4	6
51	в то	3	6
52	его в	9	6
53	с тем	8	6
54	вовсе не	2	6
55	как и	7	6
56	в качестве	7	6
57	сих пор	2	6
58	а именно	4	6
59	и его	9	6
60	тем что	10	6
61	и это	4	6
62	уже в	2	5
63	так что	2	5
64	так например	2	5
65	как бы	2	5
66	и тем	4	5
67	в целом	3	5
68	а как	2	5
69	данном случае	2	5
70	другой стороны	8	5
71	одним из	2	5
72	в которых	3	5
73	сказать что	2	5
74	об этом	2	5
75	вместе с	22	5
76	в течение	2	5
77	а не	2	5
78	могут быть	6	5
79	представляют собой	3	5
80	с этой	2	4
81	этом случае	7	4
82	одной стороны	7	4
83	о чем	2	4
84	по мере	2	4
85	по отношению	2	4
86	в особенности	3	4
87	с одной	7	4
88	и что	8	4
89	а в	3	4
90	мы имеем	14	4
91	е в	3	4
92	от этого	4	4
93	что он	22	4
94	еще не	8	4
95	отношению к	2	4
96	в своей	2	4
97	в виде	9	4
98	уже не	11	4
99	и для	2	4
100	что это	5	3
101	в частности	7	3
102	в этих	6	3
103	раньше чем	4	3
104	можно сказать	2	3
105	но все	5	3
106	в этой	3	3
107	на этом	3	3
108	от себя	2	3
109	в ней	5	3
110	то это	3	3
111	к нему	3	3
112	мы видели	7	3
113	на этой	4	3
114	из них	2	3
115	на том	3	3
116	язык и	2	3
117	все эти	8	3
118	и других	2	3
119	так же	5	3
120	и на	8	3
121	при помощи	7	3
122	на нее	2	3
123	уже после	2	3
124	тогда когда	2	3
125	если бы	2	3
126	не как	4	3
127	к этому	2	3
128	в различных	2	3
129	говорит о	2	3
130	связи с	8	3
131	в свое	2	3
132	должен быть	2	3
133	что и	6	3
134	и вообще	3	3
135	или как	2	3
136	же как	4	2
137	это уже	2	2
138	никогда не	3	2
139	в дальнейшем	4	2
140	но это	7	2
141	и сам	2	2
142	несмотря на	2	2
143	из двух	2	2
144	и др	3	2
145	после этого	2	2
146	в форме	3	2
147	в связи	4	2
148	именно на	2	2
149	этих случаях	8	2
150	в более	3	2
151	и с	3	2
152	с этим	5	2
153	и здесь	7	2
154	о которых	2	2
155	по существу	2	2
156	его к	3	2
157	и при	2	2
158	чтобы он	2	2
159	того же	2	2
160	во всех	2	2
161	что мы	2	2
162	мы должны	4	2
163	жизни и	2	2
164	мы уже	4	2
165	и требует	3	2
166	но уже	3	2
167	с ней	2	2
168	входит в	5	2
169	того как	4	2
170	из которых	2	2
171	мы не	5	2
172	мы можем	2	2
173	время в	2	2
174	одна из	2	2
175	а если	2	2
176	ничего не	2	2
177	но вместе	3	2
