N	2gram	Berdyaev_V_1	Tvorches
1	и в	16	20
2	не только	2	13
3	и т	2	13
4	никогда не	3	11
5	т д	2	11
6	как бы	5	11
7	в его	4	10
8	и не	20	9
9	прежде всего	2	8
10	в том	3	8
11	ивана карамазова	2	8
12	но и	5	8
13	в этом	4	8
14	это не	2	7
15	что в	3	7
16	потому что	4	7
17	в конце	3	6
18	что он	4	6
19	как и	4	6
20	в своей	3	6
21	так и	4	6
22	все это	5	6
23	а не	7	6
24	в мире	5	5
25	но это	3	5
26	еще не	8	5
27	но не	2	5
28	и сам	2	5
29	в духе	2	4
30	мы не	2	4
31	том что	2	4
32	что они	7	4
33	хотя и	5	4
34	если не	3	4
35	все эти	3	4
36	не в	3	4
37	а в	2	4
38	в чем	3	4
39	легенда о	2	4
40	и потому	7	4
41	но в	3	4
42	а с	2	3
43	о великом	4	3
44	превращается в	3	3
45	человека и	6	3
46	в образе	4	3
47	с ним	2	3
48	одна из	2	3
49	великом инквизиторе	5	3
50	для него	2	3
51	что не	4	3
52	и мы	3	3
53	в котором	4	3
54	один из	2	3
55	в нем	4	3
56	то что	9	3
57	и это	2	3
58	так как	9	3
59	уже не	2	3
60	тем что	2	3
61	нет ничего	3	3
62	между тем	2	3
63	нас за	2	2
64	в силах	4	2
65	и есть	4	2
66	его и	2	2
67	давно уже	2	2
68	во всяком	2	2
69	что я	3	2
70	нет и	2	2
71	не могли	2	2
72	в истории	8	2
73	и тогда	2	2
74	не было	3	2
75	и что	3	2
76	не так	2	2
77	могут быть	2	2
78	говорить о	4	2
79	только в	2	2
80	это все	2	2
81	их в	3	2
