N	3gram	Tiupa_Lite_1	Analitik
1	в том что	11	9
2	в то же	5	8
3	в отличие от	5	6
4	на наш взгляд	5	6
5	то же время	5	6
6	по отношению к	2	5
7	факторов художественного впечатления	2	5
8	в конечном счете	4	4
9	с точки зрения	2	4
10	из того что	2	3
11	состоит в том	5	3
12	подобно тому как	2	3
13	с одной стороны	2	3
14	о том что	2	3
15	совокупность факторов художественного	2	2
16	в данном случае	4	2
17	в этом отношении	2	2
18	не сводится к	3	2
19	в силу своей	3	2
20	с легкой руки	2	2
21	как совокупность факторов	2	2
