N	2gram	Nazirov_Tr_1	VLabPisa
1	в этом	9	26
2	и в	18	25
3	не только	8	22
4	во сне	2	21
5	может быть	7	21
6	и не	7	19
7	не может	5	17
8	в его	3	15
9	прежде всего	4	13
10	в том	2	13
11	в частности	2	12
12	все это	4	12
13	как это	3	12
14	не могут	2	10
15	о том	2	10
16	об этом	4	9
17	что в	4	9
18	для него	3	9
19	но и	4	9
20	то же	5	9
21	по словам	2	8
22	все эти	3	8
23	в своем	3	8
24	в году	9	7
25	как и	5	7
26	том что	4	7
27	говорит о	2	7
28	у него	6	6
29	это не	5	6
30	в себе	4	6
31	то что	4	6
32	в основном	3	6
33	в нем	4	6
34	так и	5	6
35	бы и	2	6
36	и его	6	6
37	в то	5	6
38	же время	6	5
39	все же	5	5
40	как говорит	2	5
41	как бы	7	5
42	один из	3	5
43	не в	2	5
44	к тому	2	4
45	никогда не	2	4
46	перед нами	2	4
47	в одном	2	4
48	в целом	4	4
49	что все	2	4
50	что он	6	4
51	с его	2	4
52	в ее	2	4
53	в романе	10	4
54	одна из	2	4
55	в самом	2	4
56	в этой	4	4
57	и ее	2	3
58	с тем	2	3
59	и как	3	3
60	в конце	3	3
61	одном из	2	3
62	по поводу	2	3
63	и он	3	3
64	его в	2	3
65	что и	2	3
66	так же	4	3
67	что говорит	2	3
68	он сам	7	2
69	а как	2	2
70	из своих	2	2
71	было в	2	2
72	только о	2	2
73	о его	2	2
74	как у	2	2
75	еще не	4	2
76	он и	2	2
77	что она	2	2
78	и даже	4	2
79	отнюдь не	3	2
80	писателя и	2	2
81	он не	2	2
82	в образе	6	2
83	о чем	3	2
84	но в	6	2
