N	2gram	Tiupa_Teor_1	Otkroven
1	и в	18	19
2	но и	9	13
3	и не	13	13
4	в этом	8	12
5	а не	9	11
6	не в	7	11
7	может быть	17	11
8	не только	16	11
9	в нем	4	10
10	никогда не	4	9
11	в самой	2	9
12	потому что	3	9
13	прежде всего	2	9
14	лишь в	6	7
15	но он	3	7
16	он не	3	7
17	в его	6	7
18	все это	2	6
19	как и	4	6
20	то что	3	5
21	а в	13	5
22	отношение к	5	5
23	в том	16	5
24	для него	2	5
25	в этой	3	5
26	в самом	4	5
27	с его	5	4
28	и его	8	4
29	все эти	2	4
30	не может	4	4
31	что в	9	4
32	не могут	2	3
33	в этих	3	3
34	это не	2	3
35	и вот	3	3
36	того что	4	3
37	еще не	4	3
38	могут быть	4	3
39	и ее	3	3
40	в себе	9	3
41	в русской	6	3
42	никто не	2	3
43	как бы	5	3
44	это было	2	3
45	что и	2	2
46	ее в	2	2
47	в душе	8	2
48	и для	2	2
49	так и	10	2
50	жизни в	2	2
51	в своем	4	2
52	при чтении	2	2
53	как к	2	2
54	не все	3	2
55	и к	3	2
56	в ее	5	2
57	в которой	2	2
58	том что	9	2
59	своей жизни	2	2
60	в другом	3	2
61	и то	2	2
62	сказать что	3	2
63	человека к	3	2
64	личности и	4	2
65	его в	2	2
66	в своей	6	2
67	этом мире	2	2
68	и о	4	2
69	хотя и	3	2
70	но в	9	2
71	и потому	2	2
