N	2gram	Nazirov_Tv_2	VelikijI
1	и не	9	20
2	и в	20	16
3	то что	3	9
4	так как	3	9
5	еще не	5	8
6	в истории	2	8
7	что они	4	7
8	и потому	4	7
9	а не	6	7
10	человека и	3	6
11	в мире	5	5
12	хотя и	4	5
13	как бы	11	5
14	великом инквизиторе	3	5
15	но и	8	5
16	все это	6	5
17	о великом	3	4
18	в силах	2	4
19	и есть	2	4
20	в образе	3	4
21	что он	6	4
22	в нем	3	4
23	как и	6	4
24	в котором	3	4
25	так и	6	4
26	что не	3	4
27	потому что	7	4
28	в этом	8	4
29	говорить о	2	4
30	в его	10	4
31	если не	4	3
32	что в	7	3
33	превращается в	3	3
34	в конце	6	3
35	в том	8	3
36	не в	4	3
37	но это	5	3
38	что я	2	3
39	и мы	3	3
40	никогда не	11	3
41	в своей	6	3
42	не было	2	3
43	и что	2	3
44	их в	2	3
45	все эти	4	3
46	нет ничего	3	3
47	в чем	4	3
48	но в	4	3
49	нас за	2	2
50	его и	2	2
51	давно уже	2	2
52	это не	7	2
53	в духе	4	2
54	прежде всего	8	2
55	том что	4	2
56	одна из	3	2
57	но не	5	2
58	для него	3	2
59	и сам	5	2
60	ивана карамазова	8	2
61	не только	13	2
62	нет и	2	2
63	не могли	2	2
64	один из	3	2
65	и т	13	2
66	и тогда	2	2
67	т д	11	2
68	а с	3	2
69	это все	2	2
70	тем что	3	2
71	мы не	4	2
72	уже не	3	2
73	не так	2	2
74	а в	4	2
75	с ним	3	2
76	легенда о	4	2
77	между тем	3	2
78	могут быть	2	2
79	только в	2	2
80	и это	3	2
81	во всяком	2	2
