N	2gram	Vygotskiy__3	Problema
1	то что	15	38
2	и не	10	37
3	и в	25	35
4	не есть	3	33
5	сказать что	4	24
6	не только	6	24
7	том что	20	19
8	о том	5	18
9	может быть	13	18
10	в этом	14	17
11	но и	4	16
12	такого рода	2	15
13	что мы	7	14
14	только в	10	14
15	не менее	6	13
16	и что	10	13
17	потому что	6	13
18	во всяком	4	13
19	не может	6	13
20	тем не	5	12
21	в том	23	12
22	того что	10	12
23	что в	17	11
24	прежде всего	4	11
25	так что	2	11
26	значения и	5	11
27	не будет	2	11
28	в таком	2	11
29	всяком случае	4	10
30	еще не	4	10
31	и то	2	10
32	если мы	3	9
33	для нас	2	9
34	в этой	5	9
35	едва ли	2	9
36	уже не	2	8
37	было бы	10	8
38	знаком и	2	8
39	ясно что	2	8
40	по себе	7	8
41	все же	6	8
42	смысле слова	2	7
43	не является	8	7
44	все эти	7	7
45	того или	2	7
46	между знаком	2	7
47	в его	15	7
48	так и	5	7
49	так как	12	7
50	тем самым	2	7
51	мы не	9	7
52	можно ли	2	6
53	с другой	6	6
54	ни в	9	6
55	но это	5	6
56	мы и	2	6
57	но как	3	6
58	в то	4	6
59	на то	4	6
60	и для	2	6
61	или иначе	2	6
62	мы можем	7	6
63	в виде	3	6
64	в области	7	6
65	в частности	4	5
66	или иной	3	5
67	в самом	3	5
68	той или	2	5
69	отнюдь не	4	5
70	в связи	6	5
71	или иного	2	5
72	с этим	4	5
73	с одной	5	5
74	так же	17	5
75	и на	6	5
76	между собой	13	5
77	и все	4	5
78	этом смысле	2	5
79	знака в	3	5
80	как и	15	5
81	связи с	9	5
82	по своему	11	5
83	указывает на	2	5
84	то же	2	5
85	как мы	8	5
86	одной стороны	5	5
87	другой стороны	3	5
88	можно было	6	5
89	с другими	2	5
90	в себе	2	5
91	и это	4	5
92	не могут	4	4
93	в этих	2	4
94	в своем	4	4
95	в отношении	6	4
96	и как	5	4
97	не можем	3	4
98	это значит	4	4
99	и той	2	4
100	как бы	10	4
101	значение в	3	4
102	что она	5	4
103	все это	6	4
104	и только	2	4
105	таким образом	17	4
106	но только	3	4
107	заключается в	9	4
108	а в	4	4
109	в результате	3	4
110	их в	3	4
111	и здесь	2	4
112	значение слова	4	4
113	значения слова	2	4
114	тем что	8	4
115	всех этих	2	4
116	если бы	5	4
117	знака или	2	4
118	все еще	2	4
119	что он	6	4
120	на первый	2	4
121	но не	6	4
122	тот же	2	4
123	или менее	3	4
124	то и	4	4
125	в каком	2	4
126	слова и	6	4
127	вообще говоря	2	4
128	значит что	4	4
129	уже в	7	3
130	тому что	2	3
131	может ли	2	3
132	и от	2	3
133	из этих	4	3
134	первый план	2	3
135	к тому	4	3
136	что они	10	3
137	значением слова	3	3
138	в нашей	2	3
139	хотя и	2	3
140	мы уже	5	3
141	один из	6	3
142	в целом	13	3
143	и их	3	3
144	для этого	2	3
145	относятся к	2	3
146	при этом	5	3
147	здесь мы	2	3
148	и по	5	3
149	в своих	2	3
150	в основе	16	3
151	о котором	2	3
152	мы должны	6	3
153	могли бы	11	3
154	его в	3	3
155	бы в	2	3
156	с тем	16	3
157	по этому	3	3
158	что слово	4	3
159	тогда когда	4	3
160	в случае	3	3
161	и к	5	3
162	и того	4	3
163	одна из	2	3
164	все что	2	3
165	мы в	2	3
166	на том	3	3
167	оно не	2	3
168	и речи	20	3
169	внимание на	2	3
170	с самого	6	3
171	в свете	2	3
172	для того	7	3
173	тому как	2	3
174	ничего общего	3	3
175	перед нами	10	2
176	самого начала	6	2
177	или иная	3	2
178	одним и	2	2
179	основана на	2	2
180	мы могли	9	2
181	и понятие	2	2
182	бы что	4	2
183	не в	6	2
184	но все	2	2
185	является не	2	2
186	данным словом	2	2
187	независимо от	4	2
188	что с	4	2
189	и сам	3	2
190	из которых	5	2
191	совпадает с	6	2
192	как они	2	2
193	в него	3	2
194	в зависимости	5	2
195	на этой	5	2
196	отличается от	3	2
197	речь не	2	2
198	мышления и	23	2
199	наше исследование	2	2
200	что оно	4	2
201	или в	2	2
202	должно быть	2	2
203	как на	2	2
204	само по	2	2
205	каждый из	2	2
206	значения слов	5	2
207	и мышления	2	2
208	точки зрения	6	2
209	нас сейчас	2	2
210	которого оно	2	2
211	в плане	2	2
212	и которые	3	2
213	от другого	2	2
214	были бы	3	2
215	в них	2	2
216	сами по	3	2
217	та или	3	2
218	или другого	2	2
219	с нею	2	2
220	с понятием	3	2
221	об этом	2	2
222	понятий не	2	2
223	представляет собой	6	2
224	зависимости от	6	2
225	что каждый	2	2
226	в тех	2	2
227	в качестве	12	2
228	в корне	2	2
229	является для	2	2
230	он не	4	2
231	оно является	3	2
232	понятий в	6	2
233	а также	2	2
234	еще в	2	2
235	и особенно	2	2
236	что и	10	2
237	вместе с	14	2
238	только при	2	2
239	входит в	5	2
240	нами в	2	2
241	одной и	2	2
242	того чтобы	8	2
243	это обстоятельство	3	2
244	той же	4	2
245	является в	3	2
246	этим последним	2	2
247	которые в	3	2
248	которые не	4	2
249	значение как	3	2
