N	2gram	Bakhtin_KF_1	Problema
1	в его	40	43
2	и не	26	42
3	и в	24	38
4	познания и	4	30
5	не может	27	27
6	может быть	45	26
7	как бы	9	22
8	по отношению	26	21
9	отнюдь не	6	19
10	отношению к	22	19
11	к содержанию	2	17
12	и его	17	16
13	в нем	28	15
14	и поступка	2	15
15	в этом	14	15
16	независимо от	3	13
17	прежде всего	2	13
18	только в	16	13
19	в единстве	7	12
20	но не	12	12
21	ни в	12	11
22	во всех	11	11
23	и для	9	11
24	в области	2	11
25	к нему	12	10
26	отношение к	5	10
27	в их	8	10
28	поступка и	7	9
29	но и	9	9
30	не имеет	5	9
31	его в	5	9
32	не только	5	9
33	место в	5	8
34	в том	6	8
35	и как	2	8
36	точки зрения	12	8
37	было бы	8	8
38	для нее	7	8
39	то что	7	8
40	входит в	3	8
41	слова в	2	7
42	что в	4	7
43	не в	12	7
44	между тем	4	7
45	как и	5	7
46	еще не	4	7
47	совершенно не	6	7
48	в своей	10	7
49	содержания и	2	6
50	а в	4	6
51	на основе	7	6
52	только как	4	6
53	не есть	20	6
54	все же	5	6
55	дело с	2	6
56	самом деле	3	6
57	с точки	9	6
58	и этим	3	6
59	там где	5	6
60	ничего не	3	6
61	то же	5	5
62	в своем	16	5
63	это не	10	5
64	при этом	4	5
65	никогда не	5	5
66	все эти	10	5
67	познавательный акт	2	5
68	должно быть	6	5
69	рядом с	3	5
70	в основе	5	5
71	может иметь	2	5
72	с ним	5	5
73	себя как	2	5
74	его целом	10	5
75	не нужно	2	5
76	конечно не	7	5
77	так и	2	5
78	а не	17	5
79	тем как	3	5
80	быть только	8	5
81	могут быть	3	5
82	должна быть	4	4
83	не менее	3	4
84	принципиально не	2	4
85	на самом	3	4
86	только по	2	4
87	лишь как	2	4
88	в ней	3	4
89	в виду	3	4
90	и только	6	4
91	с ними	3	4
92	в то	3	4
93	о том	3	4
94	и потому	2	4
95	но в	5	4
96	но конечно	3	4
97	в ее	16	4
98	всех его	2	4
99	как в	2	4
100	тем самым	4	4
101	мы здесь	2	4
102	что не	3	4
103	хотя бы	4	4
104	в данном	2	4
105	в себе	21	4
106	здесь не	3	4
107	себя и	2	3
108	то ни	2	3
109	содержания но	2	3
110	вследствие этого	2	3
111	тем не	2	3
112	его как	5	3
113	основе своей	2	3
114	но это	6	3
115	же время	2	3
116	лишь момент	5	3
117	и тем	3	3
118	в целом	10	3
119	все это	10	3
120	и содержание	5	3
121	есть лишь	5	3
122	и на	3	3
123	может обосновать	2	3
124	или как	2	3
125	а как	2	3
126	и должна	3	3
127	ни было	4	3
128	если бы	8	3
129	эстетического созерцания	5	3
130	и все	7	3
131	но здесь	3	3
132	этом смысле	3	3
133	ясно что	3	3
134	как момент	13	3
135	в событии	5	3
136	как его	4	3
137	том что	4	3
138	говорить о	2	3
139	от него	3	3
140	бы то	2	3
141	со всеми	2	3
142	есть его	2	3
143	он не	6	3
144	нет и	3	3
145	оно не	2	3
146	к ценности	2	3
147	бытия в	5	3
148	культуры и	5	3
149	в мире	6	3
150	изнутри самого	4	3
151	менее всего	6	3
152	не знает	5	3
153	и это	12	3
154	в эстетическом	3	3
155	едва ли	2	3
156	в едином	9	2
157	а лишь	3	2
158	или иное	2	2
159	культурной области	3	2
160	я не	6	2
161	и весь	2	2
162	ни к	2	2
163	и есть	9	2
164	и мир	2	2
165	в каждом	3	2
166	событии бытия	3	2
167	содержание и	2	2
168	всех своих	4	2
169	или иной	2	2
170	войти в	2	2
171	может представиться	2	2
172	в свою	3	2
173	не дает	3	2
174	и пр	3	2
175	что это	3	2
176	нем и	3	2
177	поступающего сознания	2	2
178	той или	3	2
179	в котором	24	2
180	здесь нет	2	2
181	он может	2	2
182	психический процесс	2	2
183	как к	2	2
184	не было	8	2
185	чем не	4	2
186	и других	2	2
187	ценности и	4	2
188	здесь мы	4	2
189	лишь в	8	2
190	того что	3	2
191	действительности в	2	2
192	в событие	2	2
193	и здесь	7	2
194	в своих	3	2
195	мир в	11	2
196	к себе	2	2
197	но как	5	2
198	во всем	7	2
199	проникает в	5	2
200	того или	3	2
201	события так	2	2
202	событие в	5	2
203	подхода к	2	2
204	в него	2	2
205	мы имеем	5	2
206	но лишь	6	2
207	вне ее	3	2
208	познания но	2	2
209	раз и	2	2
210	к этому	2	2
211	вовсе не	7	2
212	или иного	3	2
213	суждения и	2	2
214	что он	2	2
215	своих моментах	2	2
216	этот момент	6	2
217	познавательного акта	2	2
218	имеют место	2	2
219	в корне	2	2
220	ни одна	2	2
221	должен быть	7	2
222	можно и	2	2
223	что и	7	2
224	себя в	8	2
225	момент его	8	2
226	и именно	2	2
227	в современной	3	2
228	не остается	2	2
229	но можно	4	2
230	содержание не	2	2
231	я должен	7	2
232	бы не	3	2
233	эти моменты	2	2
234	в себя	7	2
235	того чтобы	2	2
236	для того	3	2
237	из которых	2	2
238	и эта	2	2
239	случае мы	2	2
240	к чему	3	2
241	то или	2	2
242	тем что	3	2
243	в виде	2	2
244	и ее	2	2
245	в другом	3	2
246	дело в	2	2
247	в единство	2	2
248	что эта	2	2
249	в чем	4	2
250	место и	2	2
