N	2gram	Medvedev_V_1	Istorich
1	и в	26	22
2	мы имеем	3	19
3	в этом	26	17
4	и т	23	16
5	т е	18	16
6	т д	14	15
7	что в	10	15
8	не только	25	14
9	мы видели	3	13
10	но и	10	12
11	и не	19	12
12	может быть	22	11
13	или в	3	11
14	еще не	2	10
15	таким образом	31	10
16	но в	2	10
17	что он	4	9
18	в нем	6	9
19	что и	3	9
20	вместе с	7	9
21	в том	15	9
22	что они	3	8
23	с этим	3	8
24	том что	8	8
25	другой стороны	8	7
26	с другой	11	7
27	к этому	9	7
28	но не	2	7
29	то что	6	7
30	из них	9	7
31	связи с	4	6
32	в них	4	6
33	это не	7	6
34	не вполне	2	6
35	а в	3	6
36	то же	10	6
37	в течение	2	6
38	а не	7	6
39	во время	3	6
40	если бы	3	6
41	не менее	2	5
42	в частности	11	5
43	один из	5	5
44	все же	5	5
45	что она	2	5
46	он не	2	5
47	того что	3	5
48	могут быть	5	5
49	в этой	4	5
50	видели что	3	4
51	как это	12	4
52	у нас	2	4
53	не в	6	4
54	в пределах	5	4
55	только в	7	4
56	она не	3	4
57	они не	2	4
58	одним из	5	4
59	и его	6	4
60	не может	17	4
61	все эти	6	4
62	связана с	2	3
63	что у	2	3
64	и от	3	3
65	прежде всего	13	3
66	стороны и	2	3
67	от них	2	3
68	к тому	4	3
69	и к	3	3
70	а затем	2	3
71	как и	7	3
72	и как	3	3
73	у него	6	3
74	равно как	4	3
75	было бы	7	3
76	между прочим	2	3
77	можно ли	2	3
78	в его	14	3
79	никогда не	4	3
80	в целом	4	3
81	ее в	4	3
82	в связи	3	3
83	следующим образом	3	3
84	имеет свою	3	3
85	и у	2	3
86	так же	3	3
87	его не	3	3
88	с ними	4	3
89	сказать что	5	3
90	их и	4	3
91	он и	2	3
92	и ее	4	3
93	из этих	7	3
94	из приведенных	3	3
95	далеко не	2	3
96	о том	10	3
97	его в	3	3
98	при помощи	3	3
99	их в	6	3
100	в чем	2	3
101	одном из	3	3
102	в самых	2	2
103	не было	7	2
104	всех этих	2	2
105	с тем	3	2
106	только не	2	2
107	знаем что	2	2
108	и есть	5	2
109	и др	9	2
110	это делает	3	2
111	в одном	4	2
112	в жизни	2	2
113	говорит и	8	2
114	вовсе не	3	2
115	нет никаких	2	2
116	можно сказать	4	2
117	мы знаем	3	2
118	же в	6	2
119	связанное с	2	2
120	в силу	11	2
121	одна из	4	2
122	с одной	2	2
123	в качестве	11	2
124	ни один	7	2
125	ли это	2	2
126	одной стороны	2	2
127	например в	3	2
128	себе и	2	2
129	же как	2	2
130	хотя и	2	2
131	в ней	2	2
132	и потому	2	2
133	относится к	2	2
134	и он	2	2
135	в котором	3	2
136	даже в	5	2
137	то это	2	2
138	отношению к	7	2
139	после этого	2	2
140	жизни и	3	2
141	так и	5	2
142	даже не	2	2
143	по отношению	7	2
144	в своем	8	2
145	в особенности	2	2
146	этот вопрос	3	2
147	образом в	3	2
148	что не	3	2
149	и даже	2	2
150	и для	2	2
151	вот почему	4	2
152	роль в	4	2
153	можно утверждать	3	2
154	в которых	3	2
155	в работе	3	2
156	между тем	5	2
157	точки зрения	3	2
158	в другом	2	2
159	в то	6	2
160	ту же	2	2
161	утверждать что	4	2
162	на это	2	2
