N	2gram	Bakhtin_Fr_3	Tragedij
1	и в	40	18
2	в романе	15	10
3	в году	5	9
4	в этом	15	9
5	не только	13	8
6	и не	13	7
7	и на	8	7
8	и с	8	7
9	может быть	9	7
10	как бы	3	7
11	что он	2	6
12	и его	17	6
13	же время	6	6
14	у него	8	6
15	но в	8	6
16	все же	2	5
17	к жизни	2	5
18	так и	3	5
19	это не	2	5
20	не может	3	5
21	то же	7	5
22	в дальнейшем	2	5
23	как и	11	5
24	в то	6	5
25	но и	11	4
26	то что	5	4
27	в целом	2	4
28	что в	12	4
29	все это	4	4
30	прежде всего	16	4
31	и все	9	4
32	в нем	5	4
33	и даже	4	4
34	том что	4	4
35	но это	3	4
36	в этой	3	4
37	в себе	3	4
38	еще не	3	4
39	этот образ	7	4
40	об этом	3	4
41	уже в	2	3
42	один из	4	3
43	о чем	2	3
44	в своем	7	3
45	в конце	3	3
46	как в	3	3
47	все эти	8	3
48	и как	3	3
49	к нему	2	3
50	в основном	4	3
51	эпизод с	2	3
52	в его	13	3
53	для него	5	3
54	при этом	3	3
55	и сам	2	3
56	своего рода	2	3
57	в мире	4	3
58	то есть	18	3
59	еще в	3	2
60	из самых	2	2
61	и до	8	2
62	не был	2	2
63	что и	3	2
64	в частности	3	2
65	в отличие	3	2
66	данном случае	2	2
67	который в	2	2
68	с его	3	2
69	отношение к	8	2
70	не так	3	2
71	и здесь	4	2
72	ни в	4	2
73	он был	3	2
74	в ее	3	2
75	в том	8	2
76	до конца	6	2
77	отличие от	3	2
78	но все	3	2
79	тут же	2	2
80	в данном	4	2
81	одна из	3	2
82	потому что	2	2
83	тем что	3	2
84	чем он	2	2
85	он и	7	2
86	и ее	2	2
87	жизнью и	4	2
88	о том	4	2
89	и это	2	2
90	в самом	6	2
91	он не	9	2
92	в одном	7	2
93	одном из	2	2
94	имеет в	2	2
