N	3gram	Losev_Prob_3	Myshleni
1	с точки зрения	2	18
2	в том что	9	15
3	с другой стороны	5	9
4	о том что	3	6
5	заключается в том	3	6
6	по сравнению с	2	5
7	в то время	4	5
8	мы могли бы	3	5
9	не может быть	5	5
10	же как и	2	4
11	можно сказать что	2	4
12	до сих пор	2	4
13	то время как	4	4
14	сам по себе	6	3
15	то же самое	7	3
16	можно было бы	3	3
17	в первую очередь	3	3
18	во всяком случае	6	3
19	друг от друга	2	3
20	и тем самым	2	3
21	то что у	3	2
22	в данном случае	7	2
23	на первый план	2	2
24	одно и то	3	2
25	в то же	4	2
26	и в частности	2	2
27	и то же	4	2
