N	3gram	Vinokur_Vv_1	Myshleni
1	в том что	12	17
2	вместе с тем	3	10
3	заключается в том	3	7
4	для того чтобы	21	7
5	в отличие от	3	6
6	в собственном смысле	2	6
7	с одной стороны	4	5
8	можно было бы	3	5
9	тем не менее	8	5
10	в связи с	2	5
11	и того же	2	4
12	смысле этого слова	2	4
13	во всяком случае	3	4
14	одного и того	2	4
15	по сравнению с	3	3
16	о том что	12	3
17	состоит в том	2	3
18	с тем что	3	3
19	с другой стороны	5	3
20	как мы видели	2	3
21	в этом отношении	3	3
22	и той же	2	2
23	в известном смысле	3	2
24	в том виде	3	2
25	и в этом	3	2
26	и то что	2	2
27	имеет дело с	2	2
28	само по себе	3	2
29	только в том	2	2
30	к выводу что	5	2
31	не может быть	8	2
32	в этом смысле	10	2
33	по отношению к	4	2
34	одной и той	2	2
