N	2gram	Savitsky_P_1	Marksizm
1	точки зрения	3	34
2	может быть	5	26
3	и не	12	26
4	не может	4	24
5	с точки	3	20
6	и в	14	19
7	в этом	10	16
8	как бы	4	15
9	прежде всего	3	13
10	и пр	5	12
11	в нем	3	10
12	только в	7	9
13	но и	6	8
14	не только	17	8
15	то что	4	8
16	но в	9	7
17	в ее	2	7
18	во всех	2	7
19	то же	9	7
20	а не	2	7
21	в смысле	6	6
22	в том	9	6
23	в пределах	8	6
24	отнюдь не	2	6
25	в его	2	6
26	мы не	3	6
27	с другой	5	5
28	именно в	2	5
29	не в	5	5
30	в начале	2	5
31	и потому	4	5
32	хотя бы	8	5
33	что в	4	4
34	не менее	2	4
35	в отношении	10	4
36	в ней	6	4
37	не столько	2	4
38	а в	4	4
39	тот же	3	4
40	с этим	2	4
41	по себе	4	4
42	было бы	6	4
43	не будем	2	4
44	для того	3	4
45	переход от	2	4
46	отношении к	5	4
47	и есть	2	3
48	и как	3	3
49	же время	7	3
50	в котором	4	3
51	из них	2	3
52	все это	2	3
53	не было	2	3
54	того что	2	3
55	между тем	3	3
56	xix века	6	3
57	в то	7	3
58	и к	4	3
59	том что	4	3
60	мы должны	4	3
61	сводится к	3	3
62	является в	2	3
63	и это	2	3
64	в области	11	3
65	том числе	2	2
66	в частности	2	2
67	в своем	4	2
68	в тот	2	2
69	слова но	2	2
70	из важнейших	2	2
71	и других	2	2
72	должно быть	2	2
73	и с	2	2
74	для них	2	2
75	если бы	4	2
76	в себе	3	2
77	одна из	2	2
78	в качестве	9	2
79	как раз	2	2
80	могут быть	3	2
81	в русской	4	2
