N	2gram	Bakhtin_fo_2	Vladivir
1	и в	46	31
2	не только	11	24
3	но и	9	19
4	то что	7	18
5	и не	9	17
6	у него	9	15
7	и даже	3	15
8	он был	2	14
9	том что	4	14
10	что в	5	14
11	в этом	22	14
12	и с	6	14
13	что он	3	12
14	в его	8	12
15	но в	10	12
16	в том	10	11
17	потому что	8	11
18	о том	4	11
19	так что	4	10
20	также и	4	10
21	он не	5	10
22	никогда не	6	9
23	как мы	6	9
24	а в	3	9
25	только в	11	9
26	в конце	2	9
27	в дальнейшем	5	8
28	и по	3	8
29	в то	5	8
30	так как	6	8
31	уже в	4	7
32	для него	3	7
33	кроме того	3	7
34	и его	12	7
35	как это	2	7
36	мы уже	9	7
37	к этому	3	6
38	и к	2	6
39	можно сказать	2	6
40	у нас	2	6
41	в качестве	3	6
42	того же	3	6
43	и потому	2	6
44	может быть	7	6
45	в котором	4	6
46	его жизни	4	6
47	так и	7	6
48	не может	2	6
49	то же	8	6
50	не был	2	5
51	все это	6	5
52	вовсе не	13	5
53	не в	9	5
54	которой он	2	5
55	и от	2	5
56	а также	3	5
57	что и	3	5
58	жизни и	8	5
59	не было	3	5
60	но он	2	5
61	с ним	4	5
62	же время	4	4
63	в своем	5	4
64	и все	6	4
65	в нем	5	4
66	в себе	4	4
67	как и	8	4
68	и как	3	4
69	в этой	2	4
70	совсем не	2	4
71	хотя и	3	4
72	один из	2	4
73	в истории	4	4
74	в этот	3	4
75	в особенности	6	4
76	и у	5	4
77	как он	2	4
78	к тому	3	3
79	отнюдь не	4	3
80	с другой	2	3
81	и так	2	3
82	со своими	2	3
83	как в	4	3
84	но не	5	3
85	но это	2	3
86	что они	4	3
87	по своему	2	3
88	тот же	3	3
89	все же	6	3
90	отношение к	3	3
91	вместе с	9	3
92	в отношении	2	3
93	в связи	8	3
94	таким образом	3	3
95	все эти	5	3
96	и вот	2	3
97	если не	2	3
98	здесь мы	3	3
99	не мог	2	3
100	уже не	3	3
101	и он	4	3
102	и всегда	2	3
103	жизнь и	3	3
104	и на	7	3
105	во время	10	3
106	здесь не	2	3
107	то есть	10	3
108	место в	4	2
109	тем что	3	2
110	мы будем	3	2
111	с тем	2	2
112	первый план	2	2
113	в частности	5	2
114	нет и	3	2
115	в них	7	2
116	по существу	5	2
117	и затем	2	2
118	что все	2	2
119	и весь	2	2
120	на первый	3	2
121	о его	2	2
122	тем более	3	2
123	на этом	2	2
124	не были	2	2
125	более что	2	2
126	все что	2	2
127	еще не	6	2
128	при этом	6	2
129	того что	3	2
130	было бы	2	2
131	в это	3	2
132	что на	3	2
133	конечно не	4	2
134	ему в	3	2
135	и о	2	2
136	и до	2	2
137	уже сказали	3	2
138	и т	14	2
139	из них	8	2
140	т д	3	2
141	и для	9	2
142	чем не	2	2
143	и других	2	2
144	лишь в	2	2
145	того чтобы	8	2
146	для того	8	2
147	времени в	7	2
148	и почти	2	2
149	как на	2	2
150	своей жизни	2	2
151	значение для	2	2
152	во всяком	2	2
153	он так	2	2
154	точки зрения	10	2
155	к себе	4	2
156	из этих	4	2
157	и это	2	2
158	по всем	2	2
159	в париже	2	2
160	бога и	2	2
