N	2gram	Berdyaev_O_1	Vladivir
1	и в	19	31
2	не только	11	24
3	но и	13	19
4	то что	5	18
5	и не	13	17
6	у него	22	15
7	он был	8	14
8	том что	2	14
9	что в	4	14
10	в этом	12	14
11	и с	2	14
12	что он	3	12
13	в его	7	12
14	но в	2	12
15	с его	4	11
16	в том	5	11
17	потому что	9	11
18	о том	3	11
19	так что	2	10
20	и то	2	10
21	он не	7	10
22	никогда не	9	9
23	а в	5	9
24	даже и	2	9
25	так как	2	8
26	уже в	2	7
27	для него	5	7
28	и его	4	7
29	сказать что	2	7
30	к этому	2	6
31	и к	2	6
32	и потому	2	6
33	может быть	11	6
34	так и	2	6
35	не может	4	6
36	это было	3	6
37	не очень	2	5
38	все это	6	5
39	не в	11	5
40	и от	3	5
41	что и	2	5
42	когда он	3	5
43	что же	2	5
44	не было	9	5
45	в своих	3	5
46	но он	7	5
47	с ним	3	5
48	в своем	2	4
49	что у	2	4
50	и все	10	4
51	в нем	10	4
52	к ней	2	4
53	в себе	3	4
54	как и	6	4
55	в этой	5	4
56	совсем не	2	4
57	хотя и	2	4
58	в своей	2	4
59	ни с	7	4
60	в истории	2	4
61	в этот	2	4
62	мысли и	3	4
63	что для	2	4
64	в россии	5	4
65	к нему	3	4
66	в которой	2	4
67	что они	2	3
68	него не	2	3
69	ничего не	2	3
70	и из	2	3
71	все же	2	3
72	отношение к	5	3
73	все эти	4	3
74	и вот	3	3
75	о которой	2	3
76	и очень	2	3
77	и он	8	3
78	и на	2	3
79	он в	2	3
80	тем что	2	2
81	он сам	4	2
82	с тем	2	2
83	было всего	2	2
84	хотя бы	3	2
85	что все	2	2
86	о его	5	2
87	рационализма и	2	2
88	от него	7	2
89	учение о	2	2
90	все что	3	2
91	еще не	3	2
92	того что	3	2
93	было бы	3	2
94	в самом	5	2
95	и о	2	2
96	которую он	2	2
97	него в	5	2
98	как к	2	2
99	и для	2	2
100	лишь в	7	2
101	того чтобы	4	2
102	для того	3	2
103	и никогда	2	2
104	своей жизни	2	2
105	ума и	2	2
106	к этой	2	2
107	и ни	2	2
