N	2gram	Bakhtin_Fr_2	Hudozhes
1	и в	49	28
2	том что	4	19
3	в ее	3	18
4	и не	15	18
5	в том	3	15
6	в этом	15	13
7	о том	3	12
8	как и	11	11
9	при этом	5	11
10	в его	18	11
11	не только	17	11
12	но и	13	9
13	в себе	4	9
14	о чем	3	8
15	в жизни	4	8
16	что он	3	8
17	может быть	5	8
18	так и	6	8
19	жизни в	3	7
20	и все	3	7
21	в мире	2	7
22	с ним	4	7
23	можно сказать	2	6
24	то что	6	6
25	жизни и	7	6
26	в своей	5	6
27	то же	7	6
28	не было	4	6
29	а в	4	6
30	и с	6	6
31	тем что	4	6
32	в то	6	6
33	с его	5	5
34	и другие	2	5
35	у него	2	5
36	в своем	5	5
37	как бы	11	5
38	да и	3	5
39	с ее	3	5
40	в этой	10	5
41	что в	2	5
42	в самом	3	5
43	никогда не	5	5
44	и его	17	5
45	рядом с	6	5
46	для него	9	5
47	ничего не	2	5
48	превращается в	3	4
49	но не	5	4
50	что они	2	4
51	в качестве	2	4
52	же время	6	4
53	в художественном	2	4
54	и о	4	4
55	не может	7	4
56	того чтобы	2	4
57	подобно тому	2	4
58	только в	13	4
59	тому как	2	4
60	человек в	2	3
61	в них	13	3
62	характерно что	2	3
63	с другой	4	3
64	в одном	3	3
65	человека и	3	3
66	прежде всего	19	3
67	в нем	9	3
68	все что	2	3
69	еще не	2	3
70	одной стороны	3	3
71	было бы	3	3
72	по поводу	2	3
73	несмотря на	3	3
74	одной из	2	3
75	раз в	3	3
76	по преимуществу	2	3
77	в ней	2	3
78	мы уже	6	3
79	в этих	4	3
80	все это	9	3
81	на фоне	2	3
82	с одной	3	3
83	так же	2	3
84	можно было	3	3
85	и на	17	3
86	и это	3	3
87	к нему	3	3
88	это был	2	2
89	место в	3	2
90	автора и	2	2
91	нельзя было	3	2
92	именно в	6	2
93	из этих	5	2
94	в духе	4	2
95	вовсе не	10	2
96	как мы	7	2
97	в г	3	2
98	одна из	4	2
99	но именно	3	2
100	и к	4	2
101	к ней	2	2
102	до сих	4	2
103	к числу	2	2
104	один из	7	2
105	в нашем	2	2
106	все же	7	2
107	отношение к	8	2
108	из них	3	2
109	вместе с	2	2
110	сих пор	4	2
111	как на	4	2
112	здесь не	2	2
113	того как	2	2
114	и становится	2	2
115	лишь в	4	2
116	именно на	2	2
117	и эта	2	2
118	перед смертью	2	2
119	с точки	5	2
120	роль в	5	2
121	характер и	4	2
122	сказать что	6	2
123	нуждается в	2	2
124	точки зрения	6	2
125	не во	2	2
126	себе в	2	2
127	в другом	2	2
128	страх перед	2	2
129	и т.д	2	2
130	зрения на	2	2
131	та же	2	2
132	но в	4	2
133	видит в	3	2
