N	3gram	Tiupa_Anal_3	DiskursI
1	в том что	7	13
2	с одной стороны	2	9
3	по отношению к	7	9
4	о том что	5	5
5	в отличие от	2	4
6	то же время	3	4
7	к тому же	3	4
8	о блудном сыне	11	4
9	с другой стороны	5	3
10	той или иной	3	3
11	в свою очередь	4	3
12	в то же	3	3
13	можно сказать что	2	2
14	и того же	3	2
15	одного и того	3	2
16	в данном случае	3	2
17	по крайней мере	4	2
18	как к содержанию	2	2
19	в значительной степени	2	2
20	и в форме	2	2
21	индивидуального речевого замысла	2	2
22	не более чем	2	2
23	мы имеем дело	4	2
24	едва ли не	2	2
25	а в том	2	2
26	участников коммуникативного события	3	2
27	подобно тому как	2	2
28	притча и анекдот	2	2
29	жанры как формы	2	2
30	тот или иной	2	2
