N	2gram	Losev_Dial_4	Poddanst
1	не только	8	17
2	и в	15	14
3	и не	30	12
4	в области	3	11
5	в отношении	2	10
6	в этом	11	10
7	то же	9	9
8	в том	11	9
9	в качестве	2	9
10	но в	3	9
11	хотя бы	4	8
12	же время	6	7
13	в то	6	7
14	только в	7	7
15	но и	4	6
16	в ней	5	6
17	в смысле	5	6
18	было бы	9	6
19	не в	8	5
20	и пр	9	5
21	отношении к	2	5
22	и о	8	5
23	может быть	17	5
24	в котором	2	4
25	то что	16	4
26	что в	7	4
27	если бы	6	4
28	в своем	5	4
29	не может	11	4
30	по себе	13	4
31	том что	10	4
32	мы должны	4	4
33	и если	3	4
34	как бы	14	4
35	и потому	3	4
36	в нем	5	3
37	и т	17	3
38	с тем	4	3
39	в сравнении	3	3
40	она есть	10	3
41	и без	2	3
42	это не	12	3
43	т е	46	3
44	прежде всего	11	3
45	заключается в	2	3
46	тем самым	3	3
47	для того	5	3
48	с точки	9	3
49	мы не	9	3
50	сравнении с	2	3
51	и как	4	3
52	с ними	4	3
53	могут быть	3	3
54	точки зрения	14	3
55	в себе	8	3
56	что мы	7	3
57	потому что	10	3
58	хотя и	6	3
59	по характеру	2	2
60	в сфере	5	2
61	не менее	2	2
62	и тем	6	2
63	осуществляется в	2	2
64	именно в	5	2
65	и есть	19	2
66	во всех	2	2
67	в частности	2	2
68	отнюдь не	4	2
69	тем более	6	2
70	со стороны	3	2
71	в них	2	2
72	но о	2	2
73	есть нечто	2	2
74	все это	9	2
75	во всей	2	2
76	как раз	4	2
77	отношения к	3	2
78	с этим	3	2
79	может и	2	2
80	в жизни	5	2
81	главным образом	2	2
82	думать что	2	2
83	одних и	2	2
84	и вот	11	2
85	реальность и	2	2
86	а не	18	2
87	бы ни	2	2
88	того что	13	2
89	должно быть	2	2
90	в ее	2	2
91	говорить о	11	2
92	есть не	5	2
93	есть в	4	2
94	в силу	4	2
95	в виде	3	2
96	где бы	2	2
97	по сравнению	2	2
98	не нужно	2	2
99	не было	2	2
100	из них	2	2
101	и мы	7	2
102	и это	8	2
103	никак не	2	2
104	да и	2	2
105	не о	4	2
106	в его	4	2
107	и с	4	2
