N	2gram	Tiupa_Narr_2	formyVre
1	и в	13	46
2	в этом	13	22
3	прежде всего	6	14
4	и т	2	14
5	вовсе не	2	13
6	и его	3	12
7	только в	11	11
8	не только	26	11
9	т п	2	11
10	во время	2	10
11	в том	14	10
12	как бы	6	10
13	точки зрения	5	10
14	то есть	9	10
15	но в	6	10
16	у него	6	9
17	не в	8	9
18	мира и	3	9
19	но и	15	9
20	и не	14	9
21	и для	3	9
22	как и	4	8
23	в его	6	8
24	жизни и	4	8
25	то же	4	8
26	того чтобы	3	8
27	с точки	2	8
28	потому что	2	8
29	может быть	10	7
30	то что	8	7
31	так и	9	7
32	картину мира	2	7
33	так сказать	3	7
34	никогда не	6	6
35	и все	4	6
36	при этом	14	6
37	еще не	2	6
38	все же	6	6
39	те же	2	6
40	в частности	11	5
41	в своем	6	5
42	в то	5	5
43	но не	3	5
44	он не	5	5
45	в нем	5	5
46	что в	4	5
47	все эти	3	5
48	и у	4	5
49	место в	5	4
50	отнюдь не	4	4
51	жизни в	6	4
52	с этой	3	4
53	из этих	2	4
54	же время	3	4
55	с ним	4	4
56	же в	4	4
57	том что	13	4
58	что они	3	4
59	в котором	5	4
60	его жизни	2	4
61	в мире	4	4
62	как в	5	4
63	а не	17	4
64	и он	2	4
65	к себе	7	4
66	в себе	8	4
67	о том	5	4
68	все его	4	4
69	о чем	2	3
70	не является	4	3
71	как уже	2	3
72	к тому	9	3
73	ему в	2	3
74	что он	5	3
75	тем более	2	3
76	как у	4	3
77	в качестве	14	3
78	для него	4	3
79	себе самому	5	3
80	том как	2	3
81	имеет место	2	3
82	хотя и	5	3
83	а также	6	3
84	что и	2	3
85	в форме	5	3
86	таким образом	5	3
87	уже не	4	3
88	того что	6	3
89	и даже	3	3
90	и по	3	3
91	а в	9	3
92	роль в	2	3
93	для других	3	3
94	в другом	4	3
95	на протяжении	5	3
96	мира в	4	3
97	человек в	3	2
98	и более	2	2
99	по своему	2	2
100	а потом	2	2
101	говорить о	2	2
102	с другой	5	2
103	это не	3	2
104	со своими	2	2
105	или иной	3	2
106	можно сказать	6	2
107	картина мира	8	2
108	именно в	2	2
109	у нас	2	2
110	в этой	4	2
111	с такою	2	2
112	все что	4	2
113	особое место	3	2
114	было бы	2	2
115	со всеми	2	2
116	картины мира	2	2
117	и к	6	2
118	в аспекте	3	2
119	картине мира	2	2
120	ни для	2	2
121	один из	3	2
122	строго говоря	3	2
123	жизни с	2	2
124	и т.п	6	2
125	не может	8	2
126	здесь не	2	2
127	если не	2	2
128	этом отношении	3	2
129	с одной	5	2
130	в себя	4	2
131	в той	5	2
132	так же	2	2
133	как на	2	2
134	в данном	10	2
135	но это	2	2
136	мы имеем	3	2
137	но он	2	2
138	в литературе	4	2
139	которой он	3	2
140	далеко не	5	2
141	в конце	4	2
142	как он	2	2
143	как это	4	2
