N	2gram	Bakhtin_Fr_6	Sovremen
1	не может	4	17
2	точки зрения	2	12
3	может быть	2	12
4	таким образом	17	11
5	мы не	2	9
6	в этом	12	7
7	и в	41	7
8	и не	3	6
9	как и	7	6
10	в результате	4	6
11	прежде всего	10	5
12	все эти	11	5
13	и наконец	4	5
14	с точки	2	5
15	как бы	7	4
16	в развитии	2	4
17	мы видели	2	4
18	если мы	2	4
19	жизни и	3	4
20	вместе с	6	4
21	а в	4	4
22	не только	10	4
23	с помощью	6	4
24	в том	2	4
25	в дальнейшем	2	4
26	их в	2	4
27	из них	5	4
28	так как	10	4
29	уже в	4	3
30	состоит из	2	3
31	все же	4	3
32	все это	11	3
33	в конце	2	3
34	то же	5	3
35	в нем	16	3
36	а не	2	3
37	для нас	2	3
38	у нас	4	3
39	не в	4	3
40	в этой	8	3
41	он в	2	3
42	при этом	3	3
43	было бы	3	3
44	в одном	5	3
45	и все	9	3
46	как он	2	3
47	в первом	3	3
48	в себе	5	3
49	в области	2	3
50	но в	8	3
51	и потому	2	3
52	ведь это	2	3
53	так сказать	2	2
54	не могут	2	2
55	что это	5	2
56	для его	2	2
57	у него	7	2
58	не будем	2	2
59	значение в	2	2
60	и во	2	2
61	из этих	2	2
62	что все	2	2
63	помощью которых	2	2
64	с одной	4	2
65	в третьем	3	2
66	еще более	2	2
67	как мы	12	2
68	рот и	5	2
69	самом деле	4	2
70	и что	5	2
71	роль в	4	2
72	и даже	4	2
73	дает нам	2	2
74	той же	5	2
75	конечно в	2	2
76	мы видим	6	2
77	из четырех	2	2
78	на этом	2	2
79	времени и	2	2
80	а на	2	2
81	с этим	3	2
82	как известно	2	2
83	что в	7	2
84	говорить о	2	2
85	тот же	4	2
86	со всеми	2	2
87	на его	2	2
88	в самом	10	2
89	в его	7	2
