N	2gram	Vinokur_St_1	Tragedij
1	и в	44	18
2	в этом	21	9
3	не только	18	8
4	и не	16	7
5	и с	3	7
6	может быть	15	7
7	как бы	4	7
8	что он	10	6
9	и его	8	6
10	же время	4	6
11	у него	2	6
12	но в	10	6
13	все же	8	5
14	что это	4	5
15	так и	9	5
16	это не	8	5
17	не может	8	5
18	то же	5	5
19	как и	9	5
20	в то	9	5
21	несмотря на	2	5
22	это очень	3	5
23	но и	10	4
24	то что	18	4
25	в целом	5	4
26	что в	30	4
27	все это	5	4
28	я не	7	4
29	прежде всего	7	4
30	и все	2	4
31	в нем	5	4
32	и даже	5	4
33	так же	5	4
34	том что	29	4
35	но это	6	4
36	в этой	11	4
37	и что	4	4
38	в себе	2	4
39	еще не	3	4
40	об этом	3	4
41	уже в	2	3
42	в своем	2	3
43	никто не	4	3
44	в конце	3	3
45	как в	13	3
46	все эти	5	3
47	тем самым	2	3
48	к нему	2	3
49	в его	9	3
50	что с	2	3
51	для него	6	3
52	при этом	2	3
53	и сам	2	3
54	своего рода	3	3
55	как будто	4	3
56	как это	4	3
57	то есть	2	3
58	не имеет	4	2
59	что и	6	2
60	в частности	4	2
61	и за	3	2
62	данном случае	6	2
63	по мнению	3	2
64	что все	2	2
65	и я	3	2
66	а как	2	2
67	вопрос о	4	2
68	бы и	4	2
69	отношение к	2	2
70	говорит что	3	2
71	столь же	4	2
72	ни в	3	2
73	он был	3	2
74	в ее	4	2
75	в том	36	2
76	говорит о	3	2
77	но все	4	2
78	так что	6	2
79	в таком	3	2
80	не в	12	2
81	что этот	2	2
82	вряд ли	5	2
83	в данном	14	2
84	и то	5	2
85	потому что	6	2
86	в первом	2	2
87	тем что	5	2
88	в виде	3	2
89	по поводу	7	2
90	по словам	4	2
91	о том	17	2
92	его в	2	2
93	и это	2	2
94	в самом	7	2
95	ничего не	2	2
96	он не	2	2
97	что она	4	2
98	никогда не	5	2
