N	2gram	Nazirov_Tv_1	VLabPisa
1	таким образом	5	27
2	в этом	6	26
3	и в	21	25
4	и т	3	24
5	не только	7	22
6	может быть	5	21
7	хотя бы	5	20
8	и не	7	19
9	не может	4	17
10	в его	13	15
11	прежде всего	4	13
12	в том	7	13
13	в частности	2	12
14	все это	10	12
15	с другой	3	11
16	из них	2	11
17	в качестве	2	10
18	о том	6	10
19	к этому	2	9
20	об этом	2	9
21	что в	12	9
22	для него	6	9
23	но и	3	9
24	то же	13	9
25	т п	2	9
26	в своем	4	8
27	могут быть	2	8
28	в году	7	7
29	как и	12	7
30	том что	11	7
31	в конечном	4	7
32	говорит о	3	7
33	вместе с	2	7
34	а не	5	7
35	у него	7	6
36	это не	4	6
37	в себе	2	6
38	это и	3	6
39	то что	8	6
40	в основном	4	6
41	в нем	3	6
42	так и	2	6
43	и его	6	6
44	в то	15	6
45	же время	12	5
46	конечном счете	4	5
47	все же	5	5
48	действительности и	2	5
49	одним из	4	5
50	как бы	17	5
51	один из	4	5
52	в их	3	5
53	приводит к	2	5
54	сказать что	2	5
55	только в	5	5
56	не в	2	5
57	он говорит	3	5
58	к тому	2	4
59	никогда не	3	4
60	перед нами	2	4
61	в целом	4	4
62	что все	3	4
63	что он	6	4
64	с его	11	4
65	можно сказать	2	4
66	в романе	10	4
67	одна из	2	4
68	в своей	4	4
69	в нашей	2	4
70	в самом	3	4
71	даже в	3	4
72	когда он	2	4
73	в творческой	2	4
74	вот почему	3	4
75	в этой	5	4
76	и как	4	3
77	и мир	2	3
78	и от	4	3
79	человека и	4	3
80	только что	2	3
81	действительной жизни	3	3
82	в творчестве	6	3
83	или в	2	3
84	что не	2	3
85	вслед за	2	3
86	некоторые из	2	3
87	далеко не	3	3
88	и он	2	3
89	в виду	2	3
90	в котором	6	3
91	что и	2	3
92	жизни и	3	3
93	ее в	3	3
94	именно в	2	3
95	этой проблемы	2	3
96	в комнату	2	3
97	того что	3	3
98	и по	3	3
99	так же	3	3
100	не менее	6	2
101	он сам	6	2
102	в каждом	3	2
103	зависит от	2	2
104	из себя	2	2
105	в стихах	2	2
106	по крайней	2	2
107	у пушкина	2	2
108	в жизни	2	2
109	своих героев	3	2
110	вовсе не	5	2
111	а как	2	2
112	в книге	3	2
113	было в	2	2
114	крайней мере	2	2
115	что его	2	2
116	а затем	2	2
117	но не	3	2
118	мысль о	2	2
119	одной из	4	2
120	его произведений	2	2
121	в образах	2	2
122	в ней	2	2
123	что она	2	2
124	и даже	3	2
125	на эти	2	2
126	отнюдь не	5	2
127	если в	2	2
128	что для	2	2
129	при помощи	2	2
130	не по	3	2
131	может не	2	2
132	во всей	2	2
133	и достоевский	2	2
134	а в	6	2
135	достоевского и	3	2
136	человека в	6	2
137	в своих	5	2
138	не столько	2	2
139	хотя и	3	2
140	он не	8	2
141	ту же	3	2
142	в чем	2	2
143	в которой	3	2
144	говорит об	2	2
145	нет ни	2	2
146	но в	7	2
147	значит что	2	2
