N	2gram	Vygotskiy__3	KFilosof
1	может быть	19	43
2	в его	5	39
3	в нем	4	31
4	не может	7	27
5	и не	10	26
6	и в	38	22
7	в котором	6	21
8	в себе	4	21
9	в ее	7	17
10	а не	7	17
11	и его	6	17
12	только в	4	16
13	точки зрения	16	13
14	в этом	13	13
15	ни в	3	12
16	для него	2	12
17	и это	8	12
18	все эти	4	11
19	в своей	5	11
20	не в	12	11
21	в своем	5	10
22	все это	3	10
23	во всех	4	10
24	с точки	9	10
25	в целом	4	9
26	но и	5	9
27	как бы	14	9
28	и все	10	9
29	и для	4	9
30	если бы	14	8
31	было бы	12	8
32	со стороны	2	8
33	и здесь	6	7
34	вовсе не	8	7
35	конечно не	4	7
36	должен быть	3	7
37	что и	4	7
38	то что	35	7
39	я не	5	6
40	и я	2	6
41	в том	25	6
42	но это	3	6
43	смысл и	4	6
44	и только	3	6
45	и действительно	2	6
46	отнюдь не	2	6
47	совершенно не	5	6
48	он не	6	6
49	уже не	2	6
50	никогда не	4	5
51	хотя бы	2	5
52	то же	10	5
53	не имеет	6	5
54	в основе	3	5
55	но как	2	5
56	его в	3	5
57	с ним	2	5
58	но в	3	5
59	как и	8	5
60	не только	12	5
61	все же	8	5
62	там где	6	5
63	место в	3	4
64	что в	20	4
65	для нас	8	4
66	здесь мы	4	4
67	при этом	4	4
68	к ним	3	4
69	места в	2	4
70	в своих	4	4
71	между тем	7	4
72	могло бы	2	4
73	в одном	8	4
74	том что	14	4
75	а в	7	4
76	должна быть	5	3
77	что это	10	3
78	из него	4	3
79	в свою	4	3
80	до конца	2	3
81	в виду	4	3
82	был бы	3	3
83	и тем	3	3
84	того что	4	3
85	ясно и	2	3
86	где он	3	3
87	и на	6	3
88	и совершенно	4	3
89	в ней	15	3
90	в то	3	3
91	о том	6	3
92	мы не	5	3
93	всех этих	2	3
94	ясно что	6	3
95	по своему	4	3
96	могла бы	3	3
97	не могу	2	3
98	и этот	3	3
99	бы не	3	3
100	на самом	2	3
101	самом деле	21	3
102	для того	8	3
103	что не	3	3
104	к чему	6	3
105	что этот	4	3
106	тем что	3	3
107	в другом	5	3
108	здесь не	3	3
109	ничего не	2	3
110	а с	2	2
111	где она	3	2
112	она могла	2	2
113	та же	3	2
114	его к	2	2
115	и конечно	3	2
116	и как	8	2
117	это есть	2	2
118	совсем не	3	2
119	он может	2	2
120	и мы	13	2
121	нее в	2	2
122	тому что	6	2
123	для этого	2	2
124	как к	2	2
125	быть не	2	2
126	что за	2	2
127	потому что	14	2
128	к себе	2	2
129	себя как	2	2
130	были бы	3	2
131	что только	2	2
132	и то	8	2
133	с тем	8	2
134	из нее	2	2
135	что эта	4	2
136	к этому	3	2
137	думать что	2	2
138	что он	11	2
139	конечно в	3	2
140	разве не	2	2
141	в качестве	2	2
142	есть именно	2	2
143	ли это	2	2
144	тот же	3	2
145	и может	2	2
146	со всеми	2	2
147	и когда	5	2
148	этого слова	2	2
149	и эти	2	2
150	дело не	2	2
151	как в	4	2
152	вытекает из	2	2
153	это только	3	2
154	нами в	2	2
155	в виде	2	2
156	котором я	3	2
157	того чтобы	9	2
158	в данном	2	2
159	и та	2	2
160	в этой	13	2
161	едва ли	3	2
