N	2gram	Voloshinov_1	Istorich
1	и в	15	24
2	что он	8	21
3	не только	5	21
4	может быть	13	14
5	не может	13	14
6	в этих	2	13
7	что в	6	13
8	как в	3	12
9	в этом	13	12
10	но и	4	11
11	это не	2	10
12	у него	3	10
13	том что	5	10
14	а в	6	10
15	и что	3	10
16	и другие	2	9
17	не в	4	9
18	все же	5	9
19	потому что	4	9
20	еще не	7	8
21	что и	2	8
22	все это	5	8
23	то же	7	8
24	а не	2	8
25	так как	9	8
26	один из	4	7
27	в том	4	7
28	мы видели	5	7
29	одна из	3	7
30	во всех	8	7
31	то что	10	7
32	вместе с	4	7
33	к нему	7	7
34	таким образом	21	7
35	всех этих	5	6
36	об этом	4	6
37	как и	6	6
38	но не	5	6
39	мы увидим	4	6
40	в нем	4	6
41	он не	4	6
42	и все	4	6
43	того что	2	6
44	во время	5	6
45	только в	6	6
46	что это	3	6
47	ответ на	2	6
48	не менее	3	5
49	отношение к	7	5
50	так и	10	5
51	что она	2	5
52	в чем	4	5
53	с ним	12	5
54	ничего не	2	5
55	но в	9	5
56	никогда не	7	4
57	в состоянии	2	4
58	не всегда	4	4
59	вовсе не	2	4
60	тем не	2	4
61	но все	2	4
62	при этом	7	4
63	есть и	2	4
64	мы уже	5	4
65	как бы	11	4
66	и не	16	4
67	мы не	4	4
68	точки зрения	13	4
69	в данном	3	4
70	мы должны	7	4
71	мы можем	12	4
72	с его	8	3
73	в качестве	2	3
74	если он	5	3
75	в различных	2	3
76	в дальнейшем	2	3
77	этот мотив	3	3
78	его в	8	3
79	сих пор	3	3
80	ее в	2	3
81	данном случае	3	3
82	как мы	10	3
83	в мифах	2	3
84	и становится	2	3
85	и она	2	3
86	должны быть	3	3
87	и наконец	10	3
88	и даже	2	3
89	и по	5	3
90	и его	15	3
91	но это	2	3
92	знаем что	3	3
93	уже знаем	3	3
94	к себе	3	3
95	из этих	4	3
96	что мы	2	3
97	которой он	2	3
98	и этим	3	3
99	тому что	3	2
100	думать что	2	2
101	этого не	2	2
102	к этому	7	2
103	прежде всего	11	2
104	не могут	3	2
105	не можем	3	2
106	и ее	3	2
107	этом мы	3	2
108	в то	6	2
109	мы знаем	7	2
110	ни в	6	2
111	в ее	4	2
112	и оно	3	2
113	связанные с	2	2
114	что при	2	2
115	она не	2	2
116	тот же	5	2
117	было бы	6	2
118	и тот	2	2
119	в самом	6	2
120	и о	3	2
121	не совсем	2	2
122	к ней	2	2
123	в основном	2	2
124	и др	8	2
125	на себя	2	2
126	другими словами	3	2
127	во сне	2	2
128	где оно	3	2
129	на него	4	2
130	со стороны	2	2
131	связь с	4	2
132	уже не	5	2
133	три года	2	2
134	это как	3	2
135	и у	6	2
136	что такое	3	2
137	увидим что	4	2
138	сказать что	6	2
139	в основе	3	2
140	в одной	2	2
141	с этим	6	2
142	и на	3	2
143	они не	2	2
144	отца и	3	2
145	только на	2	2
146	в таких	3	2
147	все эти	9	2
148	конечно не	3	2
149	нами выше	2	2
150	все его	2	2
151	к отцу	15	2
152	до сих	3	2
