N	2gram	Bakhtin_KF_1	VLabPisa
1	в этом	14	26
2	и в	24	25
3	не только	5	22
4	может быть	45	21
5	хотя бы	4	20
6	и не	26	19
7	не может	27	17
8	в его	40	15
9	в процессе	2	14
10	прежде всего	2	13
11	в том	6	13
12	все это	10	12
13	в качестве	2	10
14	о том	3	10
15	к этому	2	9
16	что в	4	9
17	для него	8	9
18	но и	9	9
19	то же	5	9
20	все эти	10	8
21	в своем	16	8
22	могут быть	3	8
23	как и	5	7
24	том что	4	7
25	было бы	8	7
26	отношению к	22	7
27	во всех	11	7
28	по отношению	26	7
29	не было	8	7
30	а не	17	7
31	это не	10	6
32	в себе	21	6
33	это и	2	6
34	то что	7	6
35	в нем	28	6
36	так и	2	6
37	бы и	3	6
38	и его	17	6
39	между тем	4	6
40	в то	3	6
41	тому что	2	5
42	же время	2	5
43	все же	5	5
44	и есть	9	5
45	как бы	9	5
46	один из	2	5
47	в их	8	5
48	на основе	7	5
49	только в	16	5
50	не в	12	5
51	в единстве	7	4
52	никогда не	5	4
53	в одном	4	4
54	в целом	10	4
55	что он	2	4
56	в ее	16	4
57	в своей	10	4
58	должен быть	7	4
59	познания в	2	4
60	с ними	3	4
61	в этой	2	4
62	это только	2	4
63	познания и	4	4
64	всех этих	3	3
65	и ее	2	3
66	с тем	2	3
67	и как	2	3
68	и мир	2	3
69	момент в	7	3
70	действительной жизни	3	3
71	из его	3	3
72	а значит	2	3
73	но как	5	3
74	что не	3	3
75	в виду	3	3
76	в котором	24	3
77	нет и	3	3
78	его в	5	3
79	что и	7	3
80	жизни и	8	3
81	и их	6	3
82	именно в	5	3
83	сводится к	2	3
84	того что	3	3
85	точки зрения	12	3
86	не менее	3	2
87	в каждом	3	2
88	из себя	8	2
89	мира и	4	2
90	своем содержании	2	2
91	в жизни	2	2
92	не быть	3	2
93	вовсе не	7	2
94	а как	2	2
95	по себе	2	2
96	или иной	2	2
97	и весь	2	2
98	ли это	2	2
99	и потому	2	2
100	но не	12	2
101	но для	2	2
102	всех его	2	2
103	еще не	4	2
104	и может	3	2
105	для того	3	2
106	он и	2	2
107	если бы	8	2
108	мы имеем	5	2
109	ни одна	2	2
110	на язык	3	2
111	к ним	4	2
112	в ней	3	2
113	и этот	3	2
114	отнюдь не	6	2
115	он может	2	2
116	не по	4	2
117	от того	3	2
118	может не	2	2
119	во всей	4	2
120	ее как	2	2
121	бы не	3	2
122	а в	4	2
123	чтобы не	2	2
124	того чтобы	2	2
125	из которых	2	2
126	и для	9	2
127	в своих	3	2
128	лишь в	8	2
129	не о	2	2
130	он не	6	2
131	и просто	2	2
132	говорить о	2	2
133	в другом	3	2
134	единого и	9	2
135	стороны в	3	2
136	того или	3	2
137	от его	5	2
138	в чем	4	2
139	в области	2	2
140	могло бы	4	2
141	тогда когда	3	2
142	в сознании	2	2
143	но в	5	2
144	а для	2	2
