N	2gram	Trubetskoy_1	SlovoVZh
1	не может	17	16
2	точки зрения	13	14
3	может быть	16	14
4	как бы	10	13
5	таким образом	31	12
6	и в	23	12
7	в нашем	3	11
8	отношению к	9	11
9	по отношению	9	11
10	и не	8	10
11	если бы	8	9
12	так как	7	9
13	прежде всего	3	8
14	для нас	3	7
15	в нем	3	6
16	в процессе	2	6
17	при этом	9	6
18	в том	30	6
19	только в	6	6
20	в ней	3	6
21	в жизни	3	5
22	то что	18	5
23	должна быть	5	5
24	никогда не	4	5
25	то же	4	5
26	хотя бы	4	5
27	как и	9	5
28	том что	19	5
29	отнюдь не	2	5
30	что мы	4	5
31	но в	4	5
32	в виду	2	5
33	и к	5	4
34	ни было	2	4
35	все же	13	4
36	отношение к	4	4
37	жизни и	2	4
38	так и	10	4
39	от того	3	4
40	с другой	6	4
41	на самом	7	4
42	не в	8	4
43	в этом	12	4
44	мы все	2	4
45	и на	6	4
46	его в	5	4
47	в самом	8	4
48	к нему	2	4
49	не только	7	4
50	в котором	2	3
51	в них	2	3
52	и уже	2	3
53	и более	2	3
54	бы то	2	3
55	не менее	7	3
56	быть и	5	3
57	сих пор	8	3
58	все это	11	3
59	как к	5	3
60	то ни	3	3
61	ее и	3	3
62	и по	3	3
63	и вообще	3	3
64	все эти	19	3
65	ясно что	8	3
66	в такой	4	3
67	но и	9	3
68	того что	6	3
69	и наконец	3	3
70	и проч	4	3
71	тем не	4	3
72	он должен	2	3
73	так же	8	3
74	самом деле	12	3
75	и с	5	3
76	о том	7	3
77	и ее	2	3
78	в себе	5	3
79	для него	2	3
80	до сих	8	3
81	еще не	5	3
82	и для	6	3
83	конечно не	3	3
84	из этого	6	3
85	с ним	6	3
86	но для	2	3
87	между тем	12	3
88	с этой	3	2
89	в психике	7	2
90	что и	7	2
91	слагается из	3	2
92	в настоящее	2	2
93	независимо от	2	2
94	но все	5	2
95	что в	8	2
96	на все	5	2
97	как не	2	2
98	данном случае	3	2
99	вместе с	6	2
100	себя и	2	2
101	общего с	2	2
102	и так	2	2
103	а к	2	2
104	в этих	3	2
105	на него	2	2
106	все они	5	2
107	между собой	4	2
108	в своем	10	2
109	социальной жизни	4	2
110	точку зрения	2	2
111	другой стороны	5	2
112	это не	3	2
113	и все	7	2
114	тому же	6	2
115	тогда когда	3	2
116	этих двух	2	2
117	с одной	3	2
118	к этому	5	2
119	те же	2	2
120	в себя	2	2
121	конечно в	2	2
122	и что	8	2
123	ко всем	3	2
124	не есть	2	2
125	не так	4	2
126	с точки	8	2
127	как на	4	2
128	и те	2	2
129	такой же	2	2
130	в данном	3	2
131	и то	4	2
132	мы можем	6	2
133	но не	2	2
134	она не	2	2
135	в то	6	2
136	одной стороны	2	2
137	настоящее время	2	2
138	если же	3	2
139	имеет место	2	2
140	к ним	2	2
141	он не	3	2
142	в его	5	2
143	и потому	3	2
144	из него	2	2
145	между ними	2	2
