N	2gram	Losev_Vlad_1	Hudozhes
1	том что	14	16
2	и в	31	14
3	так и	6	13
4	в том	11	12
5	не только	24	12
6	при этом	2	12
7	о том	11	12
8	и т	2	11
9	в этом	14	11
10	в себе	4	11
11	для него	7	10
12	в своей	4	10
13	у него	15	9
14	что он	12	9
15	как и	4	9
16	в качестве	6	9
17	то же	6	9
18	как в	3	8
19	то что	18	8
20	же время	4	8
21	в этой	4	8
22	в то	8	8
23	в его	12	8
24	ничего не	3	8
25	к тому	3	7
26	уже не	3	7
27	не в	5	7
28	еще не	2	7
29	не может	6	7
30	а в	9	7
31	никогда не	9	6
32	что в	14	6
33	было бы	2	6
34	не менее	2	5
35	с его	11	5
36	к жизни	2	5
37	в частности	2	5
38	к себе	2	5
39	об этом	7	5
40	может быть	6	5
41	только в	9	5
42	и он	3	5
43	и а	2	5
44	но и	19	5
45	жизни и	5	5
46	и его	7	5
47	потому что	11	5
48	ни в	2	5
49	точки зрения	2	5
50	но в	12	5
51	и н	3	4
52	в своем	4	4
53	и от	5	4
54	и все	4	4
55	на то	5	4
56	можно сказать	6	4
57	и к	6	4
58	тем не	2	4
59	несмотря на	4	4
60	мы уже	7	4
61	в самом	2	4
62	и о	2	4
63	он уже	4	4
64	один из	4	4
65	что она	2	4
66	в я	4	4
67	себя в	4	4
68	из них	2	4
69	как раз	7	4
70	не было	5	4
71	того что	2	4
72	только что	2	4
73	он не	10	4
74	по своей	4	4
75	в конце	9	4
76	и это	2	4
77	с ним	5	4
78	и с	14	4
79	но не	3	3
80	отнюдь не	3	3
81	что у	4	3
82	но он	5	3
83	как мы	9	3
84	от него	2	3
85	на этом	2	3
86	по своему	3	3
87	своего времени	2	3
88	такого рода	4	3
89	о нем	7	3
90	еще в	4	3
91	даже в	2	3
92	для себя	2	3
93	в нем	4	3
94	все же	3	3
95	со стороны	2	3
96	то и	2	3
97	в связи	3	3
98	т д	2	3
99	и для	2	3
100	все эти	3	3
101	лишь в	2	3
102	того чтобы	2	3
103	и даже	15	3
104	к этой	2	3
105	и по	8	3
106	в своих	5	3
107	м м	15	3
108	тем что	2	3
109	и на	3	3
110	как к	2	3
111	а также	5	3
112	едва ли	3	3
113	в ответ	2	2
114	и м	2	2
115	не столько	2	2
116	и так	3	2
117	в тот	2	2
118	и потому	6	2
119	ясно что	2	2
120	что на	2	2
121	к своему	3	2
122	мы знаем	2	2
123	да и	4	2
124	так что	10	2
125	своей жизни	2	2
126	этот момент	2	2
127	и что	6	2
128	мы читаем	2	2
129	л м	19	2
130	в целом	3	2
131	одной из	2	2
132	со своим	5	2
133	на его	3	2
134	только на	3	2
135	в начале	3	2
136	не стал	2	2
137	никак не	4	2
138	хотя и	4	2
139	для нее	2	2
140	как он	4	2
141	его жизни	6	2
142	и личность	2	2
143	на него	3	2
144	что же	5	2
145	все это	5	2
146	для своего	2	2
147	а а	4	2
148	а с	5	2
149	с и	2	2
150	и не	17	2
151	же касается	4	2
152	там же	13	2
153	в это	2	2
154	той же	2	2
155	с ними	2	2
156	в результате	2	2
157	пока еще	2	2
158	под ред	2	2
159	что я	2	2
160	о котором	2	2
161	видно что	5	2
162	с того	2	2
163	но как	5	2
164	здесь не	3	2
165	не раз	4	2
