N	2gram	Berdyaev_N_1	SlovoVZh
1	не может	16	16
2	может быть	7	14
3	и в	16	12
4	и не	11	10
5	прежде всего	4	8
6	сказать что	3	7
7	в нем	5	6
8	все время	2	6
9	в том	8	6
10	к содержанию	2	6
11	в ней	5	6
12	в жизни	5	5
13	то что	4	5
14	должна быть	3	5
15	никогда не	6	5
16	а не	17	5
17	хотя бы	2	5
18	как и	7	5
19	том что	2	5
20	как в	3	5
21	но в	2	5
22	и к	5	4
23	жизни и	8	4
24	так и	2	4
25	с другой	3	4
26	уже не	2	4
27	не в	6	4
28	в этом	7	4
29	и на	2	4
30	за пределы	3	4
31	не только	5	4
32	в них	4	3
33	не к	2	3
34	не менее	4	3
35	в своей	3	3
36	все это	5	3
37	все эти	2	3
38	но и	3	3
39	и пр	3	3
40	ни в	6	3
41	так же	2	3
42	мы не	2	3
43	ведь и	2	3
44	формы и	2	3
45	и с	2	3
46	о том	4	3
47	в себе	2	3
48	еще не	3	3
49	и для	4	3
50	конечно не	3	3
51	но для	2	3
52	место в	2	2
53	перестает быть	4	2
54	зависит от	2	2
55	с его	6	2
56	что в	9	2
57	как не	8	2
58	вместе с	2	2
59	все они	2	2
60	другой стороны	2	2
61	это не	4	2
62	и все	4	2
63	с одной	2	2
64	и что	2	2
65	не есть	3	2
66	но это	6	2
67	такой же	2	2
68	но не	2	2
69	могут быть	2	2
70	она не	3	2
71	в то	2	2
72	одной стороны	2	2
73	со всех	4	2
74	как это	2	2
75	к ним	3	2
76	он не	8	2
77	и потому	4	2
