N	2gram	Medvedev_U_1	Poddanst
1	не только	10	17
2	и в	14	14
3	и не	8	12
4	в области	3	11
5	в этом	7	10
6	то же	5	9
7	в том	2	9
8	но в	3	9
9	хотя бы	5	8
10	же время	3	7
11	в то	3	7
12	только в	2	7
13	но и	4	6
14	было бы	3	6
15	с другой	4	5
16	не в	2	5
17	может быть	6	5
18	то что	7	4
19	если бы	2	4
20	не может	7	4
21	по себе	2	4
22	том что	2	4
23	в россии	4	3
24	это не	3	3
25	прежде всего	8	3
26	сводится к	2	3
27	мы не	2	3
28	между тем	2	3
29	но не	2	3
30	могут быть	2	3
31	в себе	2	3
32	что мы	2	3
33	в частности	3	2
34	все это	5	2
35	как раз	2	2
36	не столько	2	2
37	именно как	2	2
38	а не	10	2
39	является в	2	2
40	более чем	2	2
41	не о	3	2
42	в его	2	2
43	и с	2	2
