N	2gram	Vygotskiy__5	Freidism
1	таким образом	20	24
2	и не	6	23
3	не может	9	20
4	точки зрения	7	19
5	прежде всего	4	18
6	в этом	14	15
7	в его	4	15
8	с помощью	2	14
9	в душе	2	13
10	мы можем	7	13
11	может быть	11	13
12	и его	6	12
13	как и	6	11
14	как бы	19	11
15	то что	37	11
16	все эти	2	11
17	с точки	2	11
18	и потому	5	10
19	так и	3	10
20	как мы	5	10
21	самом деле	8	10
22	но в	5	10
23	с его	2	9
24	и в	30	9
25	во всех	2	9
26	по отношению	2	9
27	что он	17	8
28	еще не	5	8
29	в своей	4	8
30	он не	3	8
31	не только	16	8
32	все это	2	8
33	то же	7	8
34	только в	5	8
35	и все	4	8
36	так как	9	8
37	мы знаем	2	7
38	ни в	3	7
39	чувств и	4	7
40	тот же	3	7
41	один из	5	7
42	в самом	14	7
43	и наконец	3	7
44	сказать что	9	7
45	мы уже	6	7
46	никогда не	9	6
47	вовсе не	3	6
48	для него	3	6
49	того что	8	6
50	в ней	4	6
51	совершенно не	6	6
52	хотя бы	3	6
53	и с	2	6
54	и к	4	5
55	знаем что	2	5
56	но мы	2	5
57	в свою	3	5
58	можно сказать	2	5
59	не в	8	5
60	в этой	5	5
61	для этого	9	5
62	в то	2	5
63	во внешнем	2	5
64	что в	24	5
65	но и	6	5
66	по мнению	6	5
67	на самом	2	5
68	в себя	2	5
69	для того	20	5
70	а в	4	5
71	и на	3	5
72	могут быть	8	5
73	с этим	2	5
74	в каком	3	5
75	мы должны	3	5
76	но не	7	4
77	в котором	2	4
78	в этих	3	4
79	из этих	3	4
80	не дает	2	4
81	если мы	16	4
82	к тому	8	4
83	об этом	3	4
84	сводится к	5	4
85	на этом	6	4
86	при этом	8	4
87	и о	3	4
88	от того	4	4
89	как раз	13	4
90	в основе	7	4
91	в зависимости	6	4
92	в нем	7	4
93	все же	7	4
94	данном случае	3	4
95	это только	3	4
96	между ними	2	4
97	мы находим	2	4
98	того чтобы	20	4
99	с самого	3	4
100	и для	6	4
101	совсем не	2	4
102	в которой	3	4
103	той же	3	4
104	мы не	3	4
105	в таком	3	4
106	в данном	3	4
107	этот вопрос	4	4
108	потому что	23	4
109	себя и	2	4
110	зависимости от	7	4
111	не могут	3	3
112	самого начала	3	3
113	если бы	11	3
114	и есть	5	3
115	тому что	8	3
116	в них	4	3
117	что все	6	3
118	в себе	5	3
119	он был	2	3
120	и как	7	3
121	сейчас же	8	3
122	по поводу	3	3
123	было бы	5	3
124	и той	2	3
125	жизни и	6	3
126	когда он	5	3
127	вместе с	12	3
128	со стороны	3	3
129	приводит к	2	3
130	не знает	2	3
131	как в	3	3
132	чем не	2	3
133	одной и	2	3
134	и вот	2	3
135	и что	23	3
136	этой теории	2	3
137	на этот	3	3
138	не найдем	2	3
139	мы имеем	8	3
140	он дает	2	3
141	у него	3	3
142	в искусстве	6	3
143	одна из	3	3
144	не является	2	3
145	художественной формы	3	2
146	этих двух	7	2
147	в отношении	2	2
148	уже в	6	2
149	человека в	3	2
150	но все	2	2
151	только не	5	2
152	и другие	3	2
153	что это	8	2
154	быть и	2	2
155	в нашем	2	2
156	что между	2	2
157	между собой	2	2
158	и ни	2	2
159	того же	2	2
160	с другой	9	2
161	это не	3	2
162	формы и	3	2
163	произведение искусства	6	2
164	в конце	4	2
165	бессознательное чувство	3	2
166	к этому	3	2
167	содержание и	4	2
168	не можем	4	2
169	же самое	5	2
170	только о	2	2
171	чувства и	5	2
172	и уже	3	2
173	но во	2	2
174	для нас	3	2
175	в ее	3	2
176	до конца	2	2
177	это и	2	2
178	том что	21	2
179	не существует	3	2
180	сил в	4	2
181	а не	8	2
182	что с	6	2
183	в нашей	2	2
184	ли мы	2	2
185	одной стороны	12	2
186	эмоций и	5	2
187	из них	2	2
188	мы говорили	4	2
189	что мы	11	2
190	конце концов	2	2
191	в него	4	2
192	в своем	6	2
193	себе и	2	2
194	и до	2	2
195	страх и	2	2
196	ответ на	5	2
197	сих пор	5	2
198	что она	6	2
199	в их	3	2
200	только на	4	2
201	отличается от	2	2
202	в нас	13	2
203	и таким	2	2
204	отношения к	2	2
205	в совершенно	6	2
206	а с	5	2
207	которых мы	4	2
208	этом отношении	3	2
209	с одной	12	2
210	что оно	6	2
211	из того	3	2
212	в отличие	2	2
213	тем же	3	2
214	и даже	2	2
215	к этим	2	2
216	так же	13	2
217	как на	11	2
218	рядом с	5	2
219	отличие от	2	2
220	мы видим	8	2
221	и то	9	2
222	в психологии	3	2
223	в своих	5	2
224	что и	3	2
225	и при	2	2
226	в другом	3	2
227	все то	2	2
228	которые он	2	2
229	до сих	5	2
230	когда мы	6	2
231	как это	7	2
232	и поэтому	3	2
233	в виду	4	2
