N	2gram	Tiupa_Anal_3	FransuaR
1	и в	18	65
2	то есть	10	45
3	как бы	10	22
4	и не	12	22
5	и т.п	5	17
6	в сущности	5	16
7	в том	9	16
8	в этом	14	15
9	но в	2	14
10	в нем	2	13
11	прежде всего	5	11
12	и на	4	11
13	и его	13	10
14	и потому	2	10
15	не только	22	10
16	но и	13	10
17	так и	14	10
18	все эти	2	10
19	в его	7	9
20	во всех	2	9
21	все это	3	9
22	по своему	2	8
23	в своем	4	8
24	в дальнейшем	2	8
25	и даже	8	8
26	его в	3	7
27	точки зрения	3	7
28	только в	2	7
29	никогда не	5	6
30	том что	12	6
31	все же	4	6
32	в значительной	2	6
33	еще не	6	6
34	при этом	11	6
35	может быть	9	6
36	в ней	2	6
37	в году	3	6
38	сказать что	2	6
39	с его	8	5
40	в одном	4	5
41	в частности	12	5
42	в них	2	5
43	отличие от	2	5
44	или иной	5	5
45	для него	6	5
46	той или	3	5
47	связь с	2	5
48	еще и	3	5
49	как в	3	5
50	как и	14	5
51	в той	2	5
52	с их	3	5
53	между тем	5	5
54	и все	2	5
55	в общем	2	4
56	и к	4	4
57	не в	6	4
58	в этой	6	4
59	совершенно не	2	4
60	в самом	5	4
61	в их	6	4
62	в отличие	2	4
63	мира и	2	4
64	здесь и	3	4
65	шекспира и	4	4
66	входит в	2	4
67	так сказать	2	4
68	в жизни	2	4
69	что в	9	3
70	не является	5	3
71	это не	2	3
72	в тех	2	3
73	что он	4	3
74	в ее	3	3
75	самом деле	2	3
76	картине мира	2	3
77	по своей	2	3
78	даже в	2	3
79	с точки	2	3
80	то что	2	3
81	и прежде	2	3
82	как раз	7	3
83	не может	2	3
84	этом отношении	3	3
85	в себя	2	3
86	в форме	2	3
87	уже не	5	3
88	с другой	7	3
89	по его	3	3
90	он и	3	3
91	в себе	2	3
92	в искусстве	2	3
93	далеко не	4	3
94	но как	3	3
95	и здесь	2	3
96	ничего не	3	3
97	но не	7	2
98	к тому	6	2
99	и без	3	2
100	поэтому в	2	2
101	в противоположность	2	2
102	и от	2	2
103	из этих	3	2
104	можно сказать	4	2
105	нам кажется	2	2
106	же в	2	2
107	восходящая к	3	2
108	да и	2	2
109	в романе	2	2
110	одной стороны	2	2
111	и он	2	2
112	несмотря на	2	2
113	например в	2	2
114	на его	2	2
115	значительной степени	2	2
116	свое время	2	2
117	хотя и	2	2
118	он не	6	2
119	в свое	2	2
120	и для	2	2
121	видеть в	2	2
122	в целом	3	2
123	во второй	7	2
124	в большинстве	2	2
125	к жизни	3	2
126	приводит к	4	2
127	отношения к	2	2
128	с одной	2	2
129	не для	2	2
130	себе самому	2	2
131	и вот	2	2
132	что не	3	2
133	что мы	2	2
134	и по	2	2
135	роль в	3	2
136	но с	2	2
137	могут быть	2	2
138	во всем	3	2
139	о том	6	2
140	дело в	2	2
141	в особенности	3	2
