N	2gram	Tiupa_Anal_1	RusskieA
1	и в	18	29
2	что в	5	22
3	том что	12	22
4	в том	27	22
5	как бы	5	18
6	состоит в	11	15
7	и п	2	13
8	может быть	29	13
9	так как	2	13
10	как и	13	11
11	в этом	13	11
12	и с	2	10
13	не только	15	10
14	о том	5	9
15	а в	9	9
16	но и	17	8
17	данном случае	2	7
18	представляют собой	2	7
19	еще не	3	6
20	для того	4	6
21	вместе с	4	6
22	таким образом	3	6
23	при этом	12	6
24	того чтобы	3	6
25	и на	5	6
26	в данном	2	6
27	мы имеем	6	6
28	потому что	2	5
29	это не	6	5
30	то что	6	5
31	но не	10	5
32	для этого	2	5
33	и т	3	5
34	не может	22	5
35	будто бы	3	5
36	но в	8	5
37	именно в	4	4
38	и все	3	4
39	не все	2	4
40	тогда когда	2	4
41	вопрос о	2	4
42	уже не	4	4
43	не в	14	4
44	из них	2	4
45	к нему	3	4
46	а также	3	4
47	то же	9	4
48	а не	17	4
49	в таком	3	4
50	далеко не	6	4
51	на этом	2	3
52	в качестве	31	3
53	не всегда	4	3
54	того что	4	3
55	было бы	2	3
56	и о	2	3
57	в котором	3	3
58	с другими	4	3
59	а именно	3	3
60	в отличие	6	3
61	все эти	2	3
62	и по	2	3
63	как мы	2	3
64	тому как	3	3
65	между тем	5	3
66	подобно тому	3	3
67	в этой	5	3
68	отличие от	6	3
69	при рассмотрении	3	2
70	могут быть	4	2
71	никогда не	2	2
72	между собой	2	2
73	с другой	4	2
74	не столько	2	2
75	из этих	2	2
76	прежде всего	6	2
77	как уже	2	2
78	не что	4	2
79	что и	3	2
80	и как	5	2
81	одним из	3	2
82	одной стороны	3	2
83	за пределами	2	2
84	еще в	2	2
85	один из	2	2
86	должен быть	6	2
87	не с	4	2
88	все же	4	2
89	в своей	6	2
90	не к	2	2
91	том чтобы	7	2
92	дело не	3	2
93	в их	5	2
94	тогда как	14	2
95	а с	3	2
96	с одной	3	2
97	на самом	2	2
98	из которых	4	2
99	должно быть	2	2
100	каждый из	2	2
101	и то	2	2
102	с другим	4	2
103	на себя	2	2
104	что иное	5	2
105	в то	9	2
106	представляет собой	16	2
107	в состав	3	2
108	в которой	2	2
109	иное как	5	2
